MRNA_FROM	K27_MARKED_FROM	K27_VAL_FROM	SPECIES_TO	MRNA_TO
NCU08113T0	yes	supercont10.1	Nt	Nt|NEUTE1_113485	no
NCU05915T0	yes	supercont10.6	Nt	Nt|NEUTE1_124936	no
NCU07089T0	yes	supercont10.6	Nt	Nt|NEUTE1_103455	yes
NCU09168T0	yes	supercont10.3	Nt	Nt|NEUTE1_80743	yes
NCU07631T0	yes	supercont10.4	Nt	Nt|NEUTE1_39530	yes
NCU07210T0	yes	supercont10.5	Nt	Nt|NEUTE1_119371	yes
NCU08264T0	yes	supercont10.3	Nt	Nt|NEUTE1_42238	yes
NCU05081T0	yes	supercont10.6	Nt	Nt|NEUTE1_149041	yes
NCU05105T0	yes	supercont10.6	Nt	Nt|NEUTE1_49160	yes
NCU10501T0	yes	supercont10.1	Nt	Nt|NEUTE1_104400	yes
NCU09520T0	yes	supercont10.3	Nt	Nt|NEUTE1_129246	yes
NCU08257T0	yes	supercont10.3	Nt	Nt|NEUTE1_138111	yes
NCU06885T0	yes	supercont10.7	Nt	Nt|NEUTE1_102565	no
NCU12105T0	yes	supercont10.6	Nt	Nt|NEUTE1_118152	no
NCU12105T0	yes	supercont10.6	Nt	Nt|NEUTE1_131913	no
NCU04875T0	yes	supercont10.4	Nt	Nt|NEUTE1_108261	yes
NCU08765T0	yes	supercont10.3	Nt	Nt|NEUTE1_82937	yes
NCU04860T0	yes	supercont10.4	Nt	Nt|NEUTE1_98884	yes
NCU04871T0	yes	supercont10.4	Nt	Nt|NEUTE1_135757	no
NCU09639T0	yes	supercont10.4	Nt	Nt|NEUTE1_77863	yes
NCU11686T0	yes	supercont10.5	Nt	Nt|NEUTE1_144881	no
NCU08834T0	yes	supercont10.4	Nt	Nt|NEUTE1_99960	no
NCU07234T0	yes	supercont10.5	Nt	Nt|NEUTE1_127079	no
NCU05095T0	yes	supercont10.6	Nt	Nt|NEUTE1_118326	yes
NCU10502T0	yes	supercont10.4	Nt	Nt|NEUTE1_40035	yes
NCU07235T0	yes	supercont10.5	Nt	Nt|NEUTE1_97331	yes
NCU12085T0	yes	supercont10.7	Nt	Nt|NEUTE1_87148	no
NCU11134T0	yes	supercont10.1	Nt	Nt|NEUTE1_104390	yes
NCU08213T0	yes	supercont10.3	Nt	Nt|NEUTE1_41491	yes
NCU07630T0	yes	supercont10.4	Nt	Nt|NEUTE1_135706	yes
NCU08639T0	yes	supercont10.1	Nt	Nt|NEUTE1_106692	yes
NCU07077T0	yes	supercont10.6	Nt	Nt|NEUTE1_86937	no
NCU11363T0	yes	supercont10.4	Nt	Nt|NEUTE1_120622	no
NCU09276T0	yes	supercont10.7	Nt	Nt|NEUTE1_139266	no
NCU10027T0	yes	supercont10.1	Nt	Nt|NEUTE1_127034	yes
NCU05110T0	yes	supercont10.6	Nt	Nt|NEUTE1_48623	yes
NCU05074T0	yes	supercont10.6	Nt	Nt|NEUTE1_149046	yes
NCU09431T0	yes	supercont10.7	Nt	Nt|NEUTE1_85037	no
NCU09431T0	yes	supercont10.7	Nt	Nt|NEUTE1_111574	no
NCU07227T0	yes	supercont10.5	Nt	Nt|NEUTE1_134177	yes
NCU11087T0	yes	supercont10.5	Nt	Nt|NEUTE1_36905	no
NCU08630T0	yes	supercont10.1	Nt	Nt|NEUTE1_56066	no
NCU11705T0	yes	supercont10.4	Nt	Nt|NEUTE1_59896	no
NCU07139T0	yes	supercont10.6	Nt	Nt|NEUTE1_148390	no
NCU05158T0	yes	supercont10.6	Nt	Nt|NEUTE1_124939	no
NCU08099T0	yes	supercont10.1	Nt	Nt|NEUTE1_125121	yes
NCU08089T0	yes	supercont10.1	Nt	Nt|NEUTE1_53067	no
NCU09638T0	yes	supercont10.4	Nt	Nt|NEUTE1_77860	no
NCU08907T0	yes	supercont10.5	Nt	Nt|NEUTE1_116147	no
NCU07510T0	yes	supercont10.3	Nt	Nt|NEUTE1_101196	no
NCU05089T0	yes	supercont10.6	Nt	Nt|NEUTE1_69779	yes
NCU09169T0	yes	supercont10.3	Nt	Nt|NEUTE1_121747	yes
NCU07115T0	yes	supercont10.6	Nt	Nt|NEUTE1_124327	no
NCU07207T0	yes	supercont10.5	Nt	Nt|NEUTE1_106752	yes
NCU08641T0	yes	supercont10.1	Nt	Nt|NEUTE1_74759	yes
NCU09640T0	yes	supercont10.4	Nt	Nt|NEUTE1_59180	no
NCU09949T0	yes	supercont10.5	Nt	Nt|NEUTE1_134216	yes
NCU08074T0	yes	supercont10.1	Nt	Nt|NEUTE1_141323	no
NCU06903T0	yes	supercont10.7	Nt	Nt|NEUTE1_111692	yes
NCU09525T0	yes	supercont10.3	Nt	Nt|NEUTE1_61981	yes
NCU04709T0	yes	supercont10.6	Nt	Nt|NEUTE1_112583	yes
NCU08076T0	yes	supercont10.1	Nt	Nt|NEUTE1_149180	yes
NCU09839T0	yes	supercont10.5	Nt	Nt|NEUTE1_58962	no
NCU04921T0	yes	supercont10.4	Nt	Nt|NEUTE1_120680	yes
NCU06954T0	yes	supercont10.7	Nt	Nt|NEUTE1_102633	yes
NCU07130T0	yes	supercont10.6	Nt	Nt|NEUTE1_86861	no
NCU05172T0	yes	supercont10.4	Nt	Nt|NEUTE1_100147	yes
NCU05887T0	yes	supercont10.7	Nt	Nt|NEUTE1_124286	no
NCU09965T0	yes	supercont10.5	Nt	Nt|NEUTE1_36302	yes
NCU04991T0	yes	supercont10.6	Nt	Nt|NEUTE1_48858	yes
NCU09456T0	yes	supercont10.7	Nt	Nt|NEUTE1_147665	no
NCU07218T0	yes	supercont10.5	Nt	Nt|NEUTE1_106763	yes
NCU05092T0	yes	supercont10.6	Nt	Nt|NEUTE1_104251	yes
NCU08917T0	yes	supercont10.5	Nt	Nt|NEUTE1_135488	yes
NCU09913T0	yes	supercont10.1	Nt	Nt|NEUTE1_50693	yes
NCU07623T0	yes	supercont10.4	Nt	Nt|NEUTE1_120636	no
NCU04698T0	yes	supercont10.6	Nt	Nt|NEUTE1_68327	no
NCU07229T0	yes	supercont10.5	Nt	Nt|NEUTE1_97326	yes
NCU10644T0	yes	supercont10.4	Nt	Nt|NEUTE1_108263	yes
NCU09170T0	yes	supercont10.3	Nt	Nt|NEUTE1_129281	yes
NCU09170T0	yes	supercont10.3	Nt	Nt|NEUTE1_145942	yes
NCU09663T0	yes	supercont10.4	Nt	Nt|NEUTE1_120607	no
NCU04852T0	yes	supercont10.4	Nt	Nt|NEUTE1_120645	no
NCU04900T0	yes	supercont10.4	Nt	Nt|NEUTE1_135787	yes
NCU05106T0	yes	supercont10.6	Nt	Nt|NEUTE1_141100	yes
NCU08225T0	yes	supercont10.3	Nt	Nt|NEUTE1_82808	no
NCU05082T0	yes	supercont10.6	Nt	Nt|NEUTE1_50025	yes
NCU07216T0	yes	supercont10.5	Nt	Nt|NEUTE1_106761	yes
NCU04870T0	yes	supercont10.4	Nt	Nt|NEUTE1_39932	yes
NCU08109T0	yes	supercont10.1	Nt	Nt|NEUTE1_104452	yes
NCU04699T0	yes	supercont10.6	Nt	Nt|NEUTE1_124377	no
NCU12052T0	yes	supercont10.7	Nt	Nt|NEUTE1_147669	no
NCU11430T0	yes	supercont10.1	Nt	Nt|NEUTE1_113455	yes
NCU06953T0	yes	supercont10.7	Nt	Nt|NEUTE1_47138	yes
NCU05910T0	yes	supercont10.6	Nt	Nt|NEUTE1_50189	no
NCU05101T0	yes	supercont10.6	Nt	Nt|NEUTE1_104243	yes
NCU07652T0	yes	supercont10.4	Nt	Nt|NEUTE1_98869	no
NCU04887T0	yes	supercont10.4	Nt	Nt|NEUTE1_144873	yes
NCU05173T0	yes	supercont10.4	Nt	Nt|NEUTE1_137032	yes
NCU06889T0	yes	supercont10.7	Nt	Nt|NEUTE1_47767	no
NCU10038T0	yes	supercont10.4	Nt	Nt|NEUTE1_80653	yes
NCU05660T0	yes	supercont10.3	Nt	Nt|NEUTE1_100233	yes
NCU08262T0	yes	supercont10.3	Nt	Nt|NEUTE1_110500	yes
NCU05048T0	yes	supercont10.6	Nt	Nt|NEUTE1_104287	no
NCU05914T0	yes	supercont10.6	Nt	Nt|NEUTE1_149135	no
NCU07618T0	yes	supercont10.4	Nt	Nt|NEUTE1_77984	no
NCU05097T0	yes	supercont10.6	Nt	Nt|NEUTE1_141108	yes
NCU09185T0	yes	supercont10.3	Nt	Nt|NEUTE1_145954	yes
NCU07242T0	yes	supercont10.5	Nt	Nt|NEUTE1_74891	no
NCU12113T0	yes	supercont10.6	Nt	Nt|NEUTE1_124744	no
NCU12071T0	yes	supercont10.7	Nt	Nt|NEUTE1_103478	no
NCU08245T0	yes	supercont10.3	Nt	Nt|NEUTE1_138101	yes
NCU09585T0	yes	supercont10.7	Nt	Nt|NEUTE1_46394	yes
NCU08243T0	yes	supercont10.3	Nt	Nt|NEUTE1_138101	yes
NCU08522T0	yes	supercont10.3	Nt	Nt|NEUTE1_130091	no
NCU09650T0	yes	supercont10.4	Nt	Nt|NEUTE1_116204	yes
NCU11938T0	yes	supercont10.2	Nt	Nt|NEUTE1_138524	no
NCU07138T0	yes	supercont10.6	Nt	Nt|NEUTE1_124308	yes
NCU04901T0	yes	supercont10.4	Nt	Nt|NEUTE1_135788	yes
NCU09188T0	yes	supercont10.3	Nt	Nt|NEUTE1_80773	yes
NCU09188T0	yes	supercont10.3	Nt	Nt|NEUTE1_80771	yes
NCU04884T0	yes	supercont10.4	Nt	Nt|NEUTE1_78048	yes
NCU11365T0	yes	supercont10.4	Nt	Nt|NEUTE1_120620	no
NCU05017T0	yes	supercont10.6	Nt	Nt|NEUTE1_125018	no
NCU10070T0	yes	supercont10.4	Nt	Nt|NEUTE1_80650	yes
NCU08222T0	yes	supercont10.3	Nt	Nt|NEUTE1_101218	yes
NCU09586T0	yes	supercont10.7	Nt	Nt|NEUTE1_102636	yes
NCU05921T0	yes	supercont10.6	Nt	Nt|NEUTE1_50089	no
NCU09838T0	yes	supercont10.5	Nt	Nt|NEUTE1_120487	yes
NCU08835T0	yes	supercont10.4	Nt	Nt|NEUTE1_99959	no
NCU09179T0	yes	supercont10.3	Nt	Nt|NEUTE1_137110	yes
NCU09186T0	yes	supercont10.3	Nt	Nt|NEUTE1_80773	yes
NCU08918T0	yes	supercont10.5	Nt	Nt|NEUTE1_36875	no
NCU04877T0	yes	supercont10.4	Nt	Nt|NEUTE1_98895	yes
NCU07221T0	yes	supercont10.5	Nt	Nt|NEUTE1_56186	no
NCU09031T0	yes	supercont10.7	Nt	Nt|NEUTE1_117646	no
NCU09031T0	yes	supercont10.7	Nt	Nt|NEUTE1_139321	no
NCU04920T0	yes	supercont10.4	Nt	Nt|NEUTE1_108309	yes
NCU05096T0	yes	supercont10.6	Nt	Nt|NEUTE1_113266	yes
NCU09954T0	yes	supercont10.5	Nt	Nt|NEUTE1_74905	no
NCU10572T0	yes	supercont10.4	Nt	Nt|NEUTE1_116200	no
NCU05655T0	yes	supercont10.3	Nt	Nt|NEUTE1_137129	no
NCU09623T0	yes	supercont10.2	Nt	Nt|NEUTE1_43906	yes
NCU09652T0	yes	supercont10.4	Nt	Nt|NEUTE1_120598	no
NCU12091T0	yes	supercont10.7	Nt	Nt|NEUTE1_131775	no
NCU08188T0	yes	supercont10.7	Nt	Nt|NEUTE1_140090	no
NCU07049T0	yes	supercont10.6	Nt	Nt|NEUTE1_68315	no
NCU04853T0	yes	supercont10.4	Nt	Nt|NEUTE1_135741	no
NCU09279T0	yes	supercont10.7	Nt	Nt|NEUTE1_102455	no
NCU07085T0	yes	supercont10.6	Nt	Nt|NEUTE1_140303	yes
NCU05112T0	yes	supercont10.6	Nt	Nt|NEUTE1_49364	yes
NCU08569T0	yes	supercont10.3	Nt	Nt|NEUTE1_42789	yes
NCU10210T0	yes	supercont10.3	Nt	Nt|NEUTE1_101212	yes
NCU07625T0	yes	supercont10.4	Nt	Nt|NEUTE1_98857	yes
NCU05084T0	yes	supercont10.6	Nt	Nt|NEUTE1_124979	yes
NCU11424T0	yes	supercont10.7	Nt	Nt|NEUTE1_147619	yes
NCU11342T0	yes	supercont10.6	Nt	Nt|NEUTE1_103413	yes
NCU09172T0	yes	supercont10.3	Nt	Nt|NEUTE1_129283	yes
NCU08521T0	yes	supercont10.3	Nt	Nt|NEUTE1_41272	yes
NCU02867T0	yes	supercont10.1	Nt	Nt|NEUTE1_52695	no
NCU09590T0	yes	supercont10.7	Nt	Nt|NEUTE1_47907	yes
NCU07643T0	yes	supercont10.4	Nt	Nt|NEUTE1_98865	yes
NCU09914T0	yes	supercont10.1	Nt	Nt|NEUTE1_70042	yes
NCU11286T0	yes	supercont10.3	Nt	Nt|NEUTE1_130052	yes
NCU08789T0	yes	supercont10.3	Nt	Nt|NEUTE1_41308	yes
NCU10538T0	yes	supercont10.7	Nt	Nt|NEUTE1_85086	no
NCU08087T0	yes	supercont10.1	Nt	Nt|NEUTE1_149183	yes
NCU04915T0	yes	supercont10.4	Nt	Nt|NEUTE1_40312	yes
NCU04915T0	yes	supercont10.4	Nt	Nt|NEUTE1_135797	yes
NCU04915T0	yes	supercont10.4	Nt	Nt|NEUTE1_108297	yes
NCU04915T0	yes	supercont10.4	Nt	Nt|NEUTE1_135798	yes
NCU05699T0	yes	supercont10.3	Nt	Nt|NEUTE1_141239	no
NCU09293T0	yes	supercont10.7	Nt	Nt|NEUTE1_47017	no
NCU11341T0	yes	supercont10.6	Nt	Nt|NEUTE1_148390	no
NCU11341T0	yes	supercont10.6	Nt	Nt|NEUTE1_124307	yes
NCU05070T0	yes	supercont10.6	Nt	Nt|NEUTE1_104266	yes
NCU04890T0	yes	supercont10.4	Nt	Nt|NEUTE1_108276	yes
NCU05919T0	yes	supercont10.6	Nt	Nt|NEUTE1_26171	no
NCU07143T0	yes	supercont10.6	Nt	Nt|NEUTE1_148387	yes
NCU04881T0	yes	supercont10.4	Nt	Nt|NEUTE1_33512	yes
NCU08785T0	yes	supercont10.3	Nt	Nt|NEUTE1_42477	yes
NCU04708T0	yes	supercont10.6	Nt	Nt|NEUTE1_112582	yes
NCU07152T0	yes	supercont10.5	Nt	Nt|NEUTE1_34497	yes
NCU08206T0	yes	supercont10.3	Nt	Nt|NEUTE1_138071	yes
NCU08114T0	yes	supercont10.1	Nt	Nt|NEUTE1_70125	no
NCU08547T0	yes	supercont10.3	Nt	Nt|NEUTE1_101262	yes
NCU09855T0	yes	supercont10.5	Nt	Nt|NEUTE1_97353	no
NCU07629T0	yes	supercont10.4	Nt	Nt|NEUTE1_98859	yes
NCU09990T0	yes	supercont10.7	Nt	Nt|NEUTE1_147672	no
NCU07599T0	yes	supercont10.4	Nt	Nt|NEUTE1_39221	no
NCU04912T0	yes	supercont10.4	Nt	Nt|NEUTE1_128283	yes
NCU07634T0	yes	supercont10.4	Nt	Nt|NEUTE1_135711	yes
NCU06898T0	yes	supercont10.7	Nt	Nt|NEUTE1_139392	yes
NCU06887T0	yes	supercont10.7	Nt	Nt|NEUTE1_111675	no
NCU07224T0	yes	supercont10.5	Nt	Nt|NEUTE1_106767	yes
NCU09593T0	yes	supercont10.2	Nt	Nt|NEUTE1_139197	no
NCU07581T0	yes	supercont10.4	Nt	Nt|NEUTE1_77920	no
NCU08800T0	yes	supercont10.4	Nt	Nt|NEUTE1_99984	no
NCU09306T0	yes	supercont10.7	Nt	Nt|NEUTE1_66272	yes
NCU09857T0	yes	supercont10.5	Nt	Nt|NEUTE1_97352	no
NCU05661T0	yes	supercont10.3	Nt	Nt|NEUTE1_137135	yes
NCU05463T0	yes	supercont10.2	Nt	Nt|NEUTE1_138874	no
NCU09958T0	yes	supercont10.5	Nt	Nt|NEUTE1_74902	yes
NCU07086T0	yes	supercont10.6	Nt	Nt|NEUTE1_140300	yes
NCU07086T0	yes	supercont10.6	Nt	Nt|NEUTE1_49082	yes
NCU05057T0	yes	supercont10.6	Nt	Nt|NEUTE1_113301	yes
NCU08573T0	yes	supercont10.3	Nt	Nt|NEUTE1_101243	yes
NCU09604T0	yes	supercont10.2	Nt	Nt|NEUTE1_117607	yes
NCU08570T0	yes	supercont10.3	Nt	Nt|NEUTE1_43246	no
NCU08768T0	yes	supercont10.3	Nt	Nt|NEUTE1_82928	no
NCU05111T0	yes	supercont10.6	Nt	Nt|NEUTE1_48399	yes
NCU11292T0	yes	supercont10.3	Nt	Nt|NEUTE1_117180	yes
NCU07228T0	yes	supercont10.5	Nt	Nt|NEUTE1_97325	yes
NCU07594T0	yes	supercont10.4	Nt	Nt|NEUTE1_135669	no
NCU04897T0	yes	supercont10.4	Nt	Nt|NEUTE1_120664	yes
NCU10697T0	yes	supercont10.6	Nt	Nt|NEUTE1_132226	no
NCU03474T0	yes	supercont10.2	Nt	Nt|NEUTE1_147515	no
NCU05479T0	yes	supercont10.2	Nt	Nt|NEUTE1_102037	no
NCU04883T0	yes	supercont10.4	Nt	Nt|NEUTE1_39580	yes
NCU05107T0	yes	supercont10.6	Nt	Nt|NEUTE1_27386	yes
NCU05656T0	yes	supercont10.3	Nt	Nt|NEUTE1_109557	yes
NCU05079T0	yes	supercont10.6	Nt	Nt|NEUTE1_69785	yes
NCU05114T0	yes	supercont10.6	Nt	Nt|NEUTE1_88442	no
NCU07213T0	yes	supercont10.5	Nt	Nt|NEUTE1_106757	yes
NCU04889T0	yes	supercont10.4	Nt	Nt|NEUTE1_108275	yes
NCU08075T0	yes	supercont10.1	Nt	Nt|NEUTE1_141324	yes
NCU07232T0	yes	supercont10.5	Nt	Nt|NEUTE1_37661	yes
NCU09526T0	yes	supercont10.3	Nt	Nt|NEUTE1_100168	yes
NCU09645T0	yes	supercont10.4	Nt	Nt|NEUTE1_40294	no
NCU07244T0	yes	supercont10.5	Nt	Nt|NEUTE1_35038	yes
NCU08764T0	yes	supercont10.3	Nt	Nt|NEUTE1_122659	no
NCU10641T0	yes	supercont10.3	Nt	Nt|NEUTE1_138219	yes
NCU10641T0	yes	supercont10.3	Nt	Nt|NEUTE1_82937	yes
NCU08086T0	yes	supercont10.1	Nt	Nt|NEUTE1_52694	yes
NCU05679T0	yes	supercont10.3	Nt	Nt|NEUTE1_137150	yes
NCU09665T0	yes	supercont10.4	Nt	Nt|NEUTE1_135656	no
NCU08256T0	yes	supercont10.3	Nt	Nt|NEUTE1_27976	yes
NCU06902T0	yes	supercont10.7	Nt	Nt|NEUTE1_102578	yes
NCU10285T0	yes	supercont10.4	Nt	Nt|NEUTE1_59167	yes
NCU07233T0	yes	supercont10.5	Nt	Nt|NEUTE1_119376	yes
NCU07208T0	yes	supercont10.5	Nt	Nt|NEUTE1_106753	yes
NCU08575T0	yes	supercont10.3	Nt	Nt|NEUTE1_101241	yes
NCU05113T0	yes	supercont10.6	Nt	Nt|NEUTE1_104235	yes
NCU09724T0	yes	supercont10.7	Nt	Nt|NEUTE1_47093	no
NCU07230T0	yes	supercont10.5	Nt	Nt|NEUTE1_36552	no
NCU07215T0	yes	supercont10.5	Nt	Nt|NEUTE1_97316	yes
NCU12072T0	yes	supercont10.7	Nt	Nt|NEUTE1_15881	no
NCU08077T0	yes	supercont10.1	Nt	Nt|NEUTE1_141326	yes
NCU12097T0	yes	supercont10.6	Nt	Nt|NEUTE1_131851	no
NCU08640T0	yes	supercont10.1	Nt	Nt|NEUTE1_115587	yes
NCU05676T0	yes	supercont10.3	Nt	Nt|NEUTE1_41694	yes
NCU03476T0	yes	supercont10.2	Nt	Nt|NEUTE1_147517	no
NCU04694T0	yes	supercont10.6	Nt	Nt|NEUTE1_103499	no
NCU12078T0	yes	supercont10.7	Nt	Nt|NEUTE1_112583	yes
NCU09605T0	yes	supercont10.2	Nt	Nt|NEUTE1_102398	no
NCU07133T0	yes	supercont10.6	Nt	Nt|NEUTE1_68174	yes
NCU07133T0	yes	supercont10.6	Nt	Nt|NEUTE1_103417	yes
NCU04697T0	yes	supercont10.6	Nt	Nt|NEUTE1_87009	no
NCU09166T0	yes	supercont10.3	Nt	Nt|NEUTE1_100209	yes
NCU04874T0	yes	supercont10.4	Nt	Nt|NEUTE1_78036	yes
NCU08250T0	yes	supercont10.3	Nt	Nt|NEUTE1_138105	yes
NCU08263T0	yes	supercont10.3	Nt	Nt|NEUTE1_110501	yes
NCU09026T0	yes	supercont10.7	Nt	Nt|NEUTE1_85102	no
NCU10004T0	yes	supercont10.3	Nt	Nt|NEUTE1_100233	yes
NCU08557T0	yes	supercont10.3	Nt	Nt|NEUTE1_101253	no
NCU12086T0	yes	supercont10.7	Nt	Nt|NEUTE1_140478	no
NCU09027T0	yes	supercont10.7	Nt	Nt|NEUTE1_147682	no
NCU04704T0	yes	supercont10.6	Nt	Nt|NEUTE1_140364	no
NCU05918T0	yes	supercont10.6	Nt	Nt|NEUTE1_141041	no
NCU09519T0	yes	supercont10.3	Nt	Nt|NEUTE1_121717	no
NCU12111T0	yes	supercont10.6	Nt	Nt|NEUTE1_124720	no
NCU07225T0	yes	supercont10.5	Nt	Nt|NEUTE1_36383	yes
NCU04997T0	yes	supercont10.6	Nt	Nt|NEUTE1_149100	yes
NCU05069T0	yes	supercont10.6	Nt	Nt|NEUTE1_124987	no
NCU05911T0	yes	supercont10.6	Nt	Nt|NEUTE1_27414	no
NCU08098T0	yes	supercont10.1	Nt	Nt|NEUTE1_118393	yes
NCU08098T0	yes	supercont10.1	Nt	Nt|NEUTE1_118394	yes
NCU05669T0	yes	supercont10.3	Nt	Nt|NEUTE1_100237	yes
NCU12116T0	yes	supercont10.6	Nt	Nt|NEUTE1_69259	no
NCU08261T0	yes	supercont10.3	Nt	Nt|NEUTE1_138116	yes
NCU08233T0	yes	supercont10.3	Nt	Nt|NEUTE1_146759	yes
NCU08530T0	yes	supercont10.3	Nt	Nt|NEUTE1_82871	no
NCU09630T0	yes	supercont10.2	Nt	Nt|NEUTE1_66263	no
NCU09630T0	yes	supercont10.2	Nt	Nt|NEUTE1_147616	yes
NCU08252T0	yes	supercont10.3	Nt	Nt|NEUTE1_138107	yes
NCU08084T0	yes	supercont10.1	Nt	Nt|NEUTE1_125110	yes
NCU07150T0	yes	supercont10.5	Nt	Nt|NEUTE1_97261	yes
NCU09452T0	yes	supercont10.7	Nt	Nt|NEUTE1_102485	no
NCU08832T0	yes	supercont10.4	Nt	Nt|NEUTE1_40460	no
NCU09961T0	yes	supercont10.5	Nt	Nt|NEUTE1_134201	yes
NCU04862T0	yes	supercont10.4	Nt	Nt|NEUTE1_39592	no
NCU09836T0	yes	supercont10.5	Nt	Nt|NEUTE1_14524	yes
NCU04913T0	yes	supercont10.4	Nt	Nt|NEUTE1_40572	yes
NCU04908T0	yes	supercont10.4	Nt	Nt|NEUTE1_78087	no
