MRNA_FROM	K27_MARKED_FROM	K27_VAL_FROM	SPECIES_TO	MRNA_TO
NCU09913T0	yes	supercont10.1	Nd	Nd|NEUDI1_72687	yes
NCU07623T0	yes	supercont10.4	Nd	Nd|NEUDI1_129107	yes
NCU04698T0	yes	supercont10.6	Nd	Nd|NEUDI1_126342	no
NCU10644T0	yes	supercont10.4	Nd	Nd|NEUDI1_114408	yes
NCU09170T0	yes	supercont10.3	Nd	Nd|NEUDI1_105424	yes
NCU09663T0	yes	supercont10.4	Nd	Nd|NEUDI1_104744	yes
NCU04852T0	yes	supercont10.4	Nd	Nd|NEUDI1_114387	yes
NCU04900T0	yes	supercont10.4	Nd	Nd|NEUDI1_129153	no
NCU08225T0	yes	supercont10.3	Nd	Nd|NEUDI1_96109	yes
NCU05082T0	yes	supercont10.6	Nd	Nd|NEUDI1_19585	yes
NCU07216T0	yes	supercont10.5	Nd	Nd|NEUDI1_136214	yes
NCU04870T0	yes	supercont10.4	Nd	Nd|NEUDI1_67863	yes
NCU08244T0	yes	supercont10.3	Nd	Nd|NEUDI1_12196	yes
NCU04699T0	yes	supercont10.6	Nd	Nd|NEUDI1_167169	no
NCU12052T0	yes	supercont10.7	Nd	Nd|NEUDI1_167813	no
NCU12052T0	yes	supercont10.7	Nd	Nd|NEUDI1_127286	no
NCU11430T0	yes	supercont10.1	Nd	Nd|NEUDI1_107927	yes
NCU05101T0	yes	supercont10.6	Nd	Nd|NEUDI1_15817	yes
NCU07652T0	yes	supercont10.4	Nd	Nd|NEUDI1_67821	yes
NCU04887T0	yes	supercont10.4	Nd	Nd|NEUDI1_158665	yes
NCU05173T0	yes	supercont10.4	Nd	Nd|NEUDI1_66234	yes
NCU06889T0	yes	supercont10.7	Nd	Nd|NEUDI1_140568	yes
NCU10038T0	yes	supercont10.4	Nd	Nd|NEUDI1_157998	yes
NCU05660T0	yes	supercont10.3	Nd	Nd|NEUDI1_68439	yes
NCU05048T0	yes	supercont10.6	Nd	Nd|NEUDI1_19552	yes
NCU05914T0	yes	supercont10.6	Nd	Nd|NEUDI1_158334	yes
NCU07618T0	yes	supercont10.4	Nd	Nd|NEUDI1_142459	no
NCU05097T0	yes	supercont10.6	Nd	Nd|NEUDI1_113937	yes
NCU09185T0	yes	supercont10.3	Nd	Nd|NEUDI1_129359	yes
NCU07242T0	yes	supercont10.5	Nd	Nd|NEUDI1_72531	yes
NCU12113T0	yes	supercont10.6	Nd	Nd|NEUDI1_13378	no
NCU12071T0	yes	supercont10.7	Nd	Nd|NEUDI1_167162	no
NCU08236T0	yes	supercont10.3	Nd	Nd|NEUDI1_110279	yes
NCU09585T0	yes	supercont10.7	Nd	Nd|NEUDI1_112413	yes
NCU08243T0	yes	supercont10.3	Nd	Nd|NEUDI1_23740	yes
NCU08522T0	yes	supercont10.3	Nd	Nd|NEUDI1_158935	no
NCU09650T0	yes	supercont10.4	Nd	Nd|NEUDI1_169335	yes
NCU11938T0	yes	supercont10.2	Nd	Nd|NEUDI1_102337	no
NCU07138T0	yes	supercont10.6	Nd	Nd|NEUDI1_169775	yes
NCU09188T0	yes	supercont10.3	Nd	Nd|NEUDI1_158870	yes
NCU04884T0	yes	supercont10.4	Nd	Nd|NEUDI1_129146	yes
NCU11365T0	yes	supercont10.4	Nd	Nd|NEUDI1_158617	yes
NCU11365T0	yes	supercont10.4	Nd	Nd|NEUDI1_86386	yes
NCU05017T0	yes	supercont10.6	Nd	Nd|NEUDI1_44524	yes
NCU08222T0	yes	supercont10.3	Nd	Nd|NEUDI1_59746	yes
NCU09586T0	yes	supercont10.7	Nd	Nd|NEUDI1_63511	yes
NCU05921T0	yes	supercont10.6	Nd	Nd|NEUDI1_66684	yes
NCU05921T0	yes	supercont10.6	Nd	Nd|NEUDI1_104050	yes
NCU09838T0	yes	supercont10.5	Nd	Nd|NEUDI1_70041	no
NCU08835T0	yes	supercont10.4	Nd	Nd|NEUDI1_141931	no
NCU09179T0	yes	supercont10.3	Nd	Nd|NEUDI1_114736	yes
NCU09186T0	yes	supercont10.3	Nd	Nd|NEUDI1_158870	yes
NCU08237T0	yes	supercont10.3	Nd	Nd|NEUDI1_58592	yes
NCU04877T0	yes	supercont10.4	Nd	Nd|NEUDI1_114407	yes
NCU07221T0	yes	supercont10.5	Nd	Nd|NEUDI1_90869	yes
NCU04920T0	yes	supercont10.4	Nd	Nd|NEUDI1_114444	yes
NCU05096T0	yes	supercont10.6	Nd	Nd|NEUDI1_128780	yes
NCU09954T0	yes	supercont10.5	Nd	Nd|NEUDI1_90832	yes
NCU10572T0	yes	supercont10.4	Nd	Nd|NEUDI1_169329	yes
NCU05655T0	yes	supercont10.3	Nd	Nd|NEUDI1_142746	yes
NCU09623T0	yes	supercont10.2	Nd	Nd|NEUDI1_115089	yes
NCU09652T0	yes	supercont10.4	Nd	Nd|NEUDI1_104719	no
NCU08188T0	yes	supercont10.7	Nd	Nd|NEUDI1_112699	no
NCU08188T0	yes	supercont10.7	Nd	Nd|NEUDI1_26438	no
NCU07049T0	yes	supercont10.6	Nd	Nd|NEUDI1_24600	no
NCU04853T0	yes	supercont10.4	Nd	Nd|NEUDI1_20103	yes
NCU09279T0	yes	supercont10.7	Nd	Nd|NEUDI1_156756	yes
NCU05112T0	yes	supercont10.6	Nd	Nd|NEUDI1_15819	yes
NCU08569T0	yes	supercont10.3	Nd	Nd|NEUDI1_114852	yes
NCU10210T0	yes	supercont10.3	Nd	Nd|NEUDI1_110299	yes
NCU07625T0	yes	supercont10.4	Nd	Nd|NEUDI1_114344	yes
NCU05084T0	yes	supercont10.6	Nd	Nd|NEUDI1_66667	yes
NCU11424T0	yes	supercont10.7	Nd	Nd|NEUDI1_100138	yes
NCU11342T0	yes	supercont10.6	Nd	Nd|NEUDI1_115240	yes
NCU09172T0	yes	supercont10.3	Nd	Nd|NEUDI1_87033	yes
NCU08521T0	yes	supercont10.3	Nd	Nd|NEUDI1_105561	no
NCU02867T0	yes	supercont10.1	Nd	Nd|NEUDI1_23058	yes
NCU09590T0	yes	supercont10.7	Nd	Nd|NEUDI1_63222	yes
NCU09914T0	yes	supercont10.1	Nd	Nd|NEUDI1_165349	yes
NCU11286T0	yes	supercont10.3	Nd	Nd|NEUDI1_96132	yes
NCU05907T0	yes	supercont10.6	Nd	Nd|NEUDI1_113995	yes
NCU10538T0	yes	supercont10.7	Nd	Nd|NEUDI1_167871	no
NCU08087T0	yes	supercont10.1	Nd	Nd|NEUDI1_20779	yes
NCU04915T0	yes	supercont10.4	Nd	Nd|NEUDI1_20158	yes
NCU04915T0	yes	supercont10.4	Nd	Nd|NEUDI1_16292	yes
NCU05699T0	yes	supercont10.3	Nd	Nd|NEUDI1_129337	no
NCU09293T0	yes	supercont10.7	Nd	Nd|NEUDI1_112092	yes
NCU11341T0	yes	supercont10.6	Nd	Nd|NEUDI1_115238	yes
NCU05070T0	yes	supercont10.6	Nd	Nd|NEUDI1_128762	yes
NCU04890T0	yes	supercont10.4	Nd	Nd|NEUDI1_67755	yes
NCU05919T0	yes	supercont10.6	Nd	Nd|NEUDI1_128828	yes
NCU04881T0	yes	supercont10.4	Nd	Nd|NEUDI1_16270	no
NCU08785T0	yes	supercont10.3	Nd	Nd|NEUDI1_105536	yes
NCU04708T0	yes	supercont10.6	Nd	Nd|NEUDI1_139333	no
NCU08206T0	yes	supercont10.3	Nd	Nd|NEUDI1_23774	yes
NCU09158T0	yes	supercont10.3	Nd	Nd|NEUDI1_16588	yes
NCU08114T0	yes	supercont10.1	Nd	Nd|NEUDI1_153062	no
NCU08547T0	yes	supercont10.3	Nd	Nd|NEUDI1_114829	no
NCU09855T0	yes	supercont10.5	Nd	Nd|NEUDI1_136185	yes
NCU07629T0	yes	supercont10.4	Nd	Nd|NEUDI1_20057	yes
NCU09990T0	yes	supercont10.7	Nd	Nd|NEUDI1_112262	no
NCU07599T0	yes	supercont10.4	Nd	Nd|NEUDI1_20044	yes
NCU04912T0	yes	supercont10.4	Nd	Nd|NEUDI1_129163	yes
NCU11712T0	yes	supercont10.4	Nd	Nd|NEUDI1_124829	no
NCU07634T0	yes	supercont10.4	Nd	Nd|NEUDI1_16226	yes
NCU06898T0	yes	supercont10.7	Nd	Nd|NEUDI1_26032	yes
NCU06887T0	yes	supercont10.7	Nd	Nd|NEUDI1_26020	yes
NCU07224T0	yes	supercont10.5	Nd	Nd|NEUDI1_72533	yes
NCU09593T0	yes	supercont10.2	Nd	Nd|NEUDI1_115075	yes
NCU07581T0	yes	supercont10.4	Nd	Nd|NEUDI1_129088	yes
NCU09306T0	yes	supercont10.7	Nd	Nd|NEUDI1_100134	yes
NCU05463T0	yes	supercont10.2	Nd	Nd|NEUDI1_141694	yes
NCU09958T0	yes	supercont10.5	Nd	Nd|NEUDI1_72506	yes
NCU07086T0	yes	supercont10.6	Nd	Nd|NEUDI1_24543	yes
NCU07086T0	yes	supercont10.6	Nd	Nd|NEUDI1_111000	yes
NCU05057T0	yes	supercont10.6	Nd	Nd|NEUDI1_85522	no
NCU08573T0	yes	supercont10.3	Nd	Nd|NEUDI1_30997	yes
NCU08570T0	yes	supercont10.3	Nd	Nd|NEUDI1_20620	yes
NCU08238T0	yes	supercont10.3	Nd	Nd|NEUDI1_23744	yes
NCU08768T0	yes	supercont10.3	Nd	Nd|NEUDI1_87156	no
NCU05111T0	yes	supercont10.6	Nd	Nd|NEUDI1_15819	yes
NCU11292T0	yes	supercont10.3	Nd	Nd|NEUDI1_87090	yes
NCU07594T0	yes	supercont10.4	Nd	Nd|NEUDI1_67930	yes
NCU04897T0	yes	supercont10.4	Nd	Nd|NEUDI1_114425	yes
NCU10697T0	yes	supercont10.6	Nd	Nd|NEUDI1_142077	yes
NCU03474T0	yes	supercont10.2	Nd	Nd|NEUDI1_20306	no
NCU05479T0	yes	supercont10.2	Nd	Nd|NEUDI1_15357	no
NCU04883T0	yes	supercont10.4	Nd	Nd|NEUDI1_129145	yes
NCU05107T0	yes	supercont10.6	Nd	Nd|NEUDI1_19600	yes
NCU05656T0	yes	supercont10.3	Nd	Nd|NEUDI1_20459	yes
NCU05079T0	yes	supercont10.6	Nd	Nd|NEUDI1_85551	yes
NCU05114T0	yes	supercont10.6	Nd	Nd|NEUDI1_19612	yes
NCU04889T0	yes	supercont10.4	Nd	Nd|NEUDI1_67755	yes
NCU08075T0	yes	supercont10.1	Nd	Nd|NEUDI1_9852	yes
NCU07232T0	yes	supercont10.5	Nd	Nd|NEUDI1_34921	yes
NCU09645T0	yes	supercont10.4	Nd	Nd|NEUDI1_67703	yes
NCU08764T0	yes	supercont10.3	Nd	Nd|NEUDI1_129401	yes
NCU10641T0	yes	supercont10.3	Nd	Nd|NEUDI1_169528	yes
NCU08086T0	yes	supercont10.1	Nd	Nd|NEUDI1_165356	yes
NCU05679T0	yes	supercont10.3	Nd	Nd|NEUDI1_142736	yes
NCU06902T0	yes	supercont10.7	Nd	Nd|NEUDI1_63430	yes
NCU10285T0	yes	supercont10.4	Nd	Nd|NEUDI1_104668	yes
NCU07233T0	yes	supercont10.5	Nd	Nd|NEUDI1_165314	yes
NCU07233T0	yes	supercont10.5	Nd	Nd|NEUDI1_165313	yes
NCU07208T0	yes	supercont10.5	Nd	Nd|NEUDI1_50783	yes
NCU05113T0	yes	supercont10.6	Nd	Nd|NEUDI1_15820	yes
NCU09724T0	yes	supercont10.7	Nd	Nd|NEUDI1_62505	yes
NCU07230T0	yes	supercont10.5	Nd	Nd|NEUDI1_49994	yes
NCU07215T0	yes	supercont10.5	Nd	Nd|NEUDI1_52642	yes
NCU12072T0	yes	supercont10.7	Nd	Nd|NEUDI1_79423	no
NCU08077T0	yes	supercont10.1	Nd	Nd|NEUDI1_52832	yes
NCU12097T0	yes	supercont10.6	Nd	Nd|NEUDI1_126529	no
NCU05676T0	yes	supercont10.3	Nd	Nd|NEUDI1_20444	yes
NCU08571T0	yes	supercont10.3	Nd	Nd|NEUDI1_114854	yes
NCU03476T0	yes	supercont10.2	Nd	Nd|NEUDI1_105165	no
NCU04694T0	yes	supercont10.6	Nd	Nd|NEUDI1_24595	no
NCU04694T0	yes	supercont10.6	Nd	Nd|NEUDI1_126340	no
NCU12078T0	yes	supercont10.7	Nd	Nd|NEUDI1_111062	no
NCU09605T0	yes	supercont10.2	Nd	Nd|NEUDI1_169687	no
NCU07133T0	yes	supercont10.6	Nd	Nd|NEUDI1_159304	yes
NCU04697T0	yes	supercont10.6	Nd	Nd|NEUDI1_111054	no
NCU09166T0	yes	supercont10.3	Nd	Nd|NEUDI1_20477	yes
NCU04874T0	yes	supercont10.4	Nd	Nd|NEUDI1_67687	no
NCU08250T0	yes	supercont10.3	Nd	Nd|NEUDI1_23732	yes
NCU08263T0	yes	supercont10.3	Nd	Nd|NEUDI1_110265	yes
NCU08263T0	yes	supercont10.3	Nd	Nd|NEUDI1_110266	yes
NCU09026T0	yes	supercont10.7	Nd	Nd|NEUDI1_100493	no
NCU10004T0	yes	supercont10.3	Nd	Nd|NEUDI1_142747	yes
NCU08557T0	yes	supercont10.3	Nd	Nd|NEUDI1_129449	no
NCU12086T0	yes	supercont10.7	Nd	Nd|NEUDI1_111160	no
NCU09027T0	yes	supercont10.7	Nd	Nd|NEUDI1_100489	no
NCU04704T0	yes	supercont10.6	Nd	Nd|NEUDI1_24609	no
NCU05918T0	yes	supercont10.6	Nd	Nd|NEUDI1_104049	yes
NCU09519T0	yes	supercont10.3	Nd	Nd|NEUDI1_106429	yes
NCU12111T0	yes	supercont10.6	Nd	Nd|NEUDI1_156141	no
NCU07225T0	yes	supercont10.5	Nd	Nd|NEUDI1_136208	yes
NCU04997T0	yes	supercont10.6	Nd	Nd|NEUDI1_19488	yes
NCU05131T0	yes	supercont10.6	Nd	Nd|NEUDI1_85610	no
NCU05069T0	yes	supercont10.6	Nd	Nd|NEUDI1_158280	yes
NCU08098T0	yes	supercont10.1	Nd	Nd|NEUDI1_20791	yes
NCU08098T0	yes	supercont10.1	Nd	Nd|NEUDI1_20792	yes
NCU05669T0	yes	supercont10.3	Nd	Nd|NEUDI1_20450	yes
NCU07653T0	yes	supercont10.4	Nd	Nd|NEUDI1_67821	yes
NCU12116T0	yes	supercont10.6	Nd	Nd|NEUDI1_167418	no
NCU08261T0	yes	supercont10.3	Nd	Nd|NEUDI1_23726	yes
NCU08233T0	yes	supercont10.3	Nd	Nd|NEUDI1_138586	yes
NCU08530T0	yes	supercont10.3	Nd	Nd|NEUDI1_158940	no
NCU09630T0	yes	supercont10.2	Nd	Nd|NEUDI1_69173	yes
NCU09630T0	yes	supercont10.2	Nd	Nd|NEUDI1_87768	yes
NCU08252T0	yes	supercont10.3	Nd	Nd|NEUDI1_110270	yes
NCU08084T0	yes	supercont10.1	Nd	Nd|NEUDI1_20775	yes
NCU08084T0	yes	supercont10.1	Nd	Nd|NEUDI1_20776	yes
NCU09452T0	yes	supercont10.7	Nd	Nd|NEUDI1_112135	yes
NCU08832T0	yes	supercont10.4	Nd	Nd|NEUDI1_66340	no
NCU09961T0	yes	supercont10.5	Nd	Nd|NEUDI1_18383	yes
NCU04862T0	yes	supercont10.4	Nd	Nd|NEUDI1_129137	no
NCU07651T0	yes	supercont10.4	Nd	Nd|NEUDI1_20091	yes
NCU09836T0	yes	supercont10.5	Nd	Nd|NEUDI1_106722	no
NCU04913T0	yes	supercont10.4	Nd	Nd|NEUDI1_129163	yes
NCU04908T0	yes	supercont10.4	Nd	Nd|NEUDI1_129166	yes
NCU07087T0	yes	supercont10.6	Nd	Nd|NEUDI1_24544	yes
NCU12115T0	yes	supercont10.6	Nd	Nd|NEUDI1_162192	no
NCU04705T0	yes	supercont10.6	Nd	Nd|NEUDI1_24610	no
NCU09278T0	yes	supercont10.7	Nd	Nd|NEUDI1_81829	yes
NCU10766T0	yes	supercont10.4	Nd	Nd|NEUDI1_104831	yes
NCU09280T0	yes	supercont10.7	Nd	Nd|NEUDI1_62516	yes
NCU04882T0	yes	supercont10.4	Nd	Nd|NEUDI1_114413	yes
NCU05658T0	yes	supercont10.3	Nd	Nd|NEUDI1_20457	yes
NCU06161T0	yes	supercont10.7	Nd	Nd|NEUDI1_112203	no
NCU08537T0	yes	supercont10.3	Nd	Nd|NEUDI1_16657	no
NCU08549T0	yes	supercont10.3	Nd	Nd|NEUDI1_105582	no
NCU07597T0	yes	supercont10.4	Nd	Nd|NEUDI1_104772	yes
NCU09906T0	yes	supercont10.1	Nd	Nd|NEUDI1_165353	yes
NCU07211T0	yes	supercont10.5	Nd	Nd|NEUDI1_136212	yes
NCU08187T0	yes	supercont10.7	Nd	Nd|NEUDI1_157210	no
NCU08756T0	yes	supercont10.3	Nd	Nd|NEUDI1_169527	yes
NCU05185T0	yes	supercont10.4	Nd	Nd|NEUDI1_158013	yes
NCU08258T0	yes	supercont10.3	Nd	Nd|NEUDI1_23729	yes
NCU08209T0	yes	supercont10.3	Nd	Nd|NEUDI1_23771	yes
NCU09587T0	yes	supercont10.7	Nd	Nd|NEUDI1_62598	yes
NCU05179T0	yes	supercont10.4	Nd	Nd|NEUDI1_19189	yes
NCU09171T0	yes	supercont10.3	Nd	Nd|NEUDI1_68332	yes
NCU05677T0	yes	supercont10.3	Nd	Nd|NEUDI1_114695	yes
NCU10427T0	yes	supercont10.3	Nd	Nd|NEUDI1_68645	yes
NCU05058T0	yes	supercont10.6	Nd	Nd|NEUDI1_169125	yes
NCU09524T0	yes	supercont10.3	Nd	Nd|NEUDI1_88040	yes
