MRNA_Nc	K27_Nc	MRNA_Nd	K27_Nd	MRNA_Nt	K27_Nt
Nc|NCU00046	no	Nd|NEUDI1_78952	no	Nt|NEUTE1_62903	no
Nc|NCU00047	no	Nd|NEUDI1_24327,NEUDI1_126143	no,no	Nt|NEUTE1_137533	no
Nc|NCU00048	no	NONE	NA	Nt|NEUTE1_100637	no
Nc|NCU00050	no	Nd|NEUDI1_161813	no	Nt|NEUTE1_116929	no
Nc|NCU00051	no	Nd|NEUDI1_78945	no	Nt|NEUTE1_62911	no
Nc|NCU00052	no	Nd|NEUDI1_139094	no	Nt|NEUTE1_41519	no
Nc|NCU00054	no	Nd|NEUDI1_97297	no	Nt|NEUTE1_41238	no
Nc|NCU00055	no	Nd|NEUDI1_155579,NEUDI1_97297	no,no	Nt|NEUTE1_81593	no
Nc|NCU00056	no	Nd|NEUDI1_97287	no	Nt|NEUTE1_81600	no
Nc|NCU00057	no	Nd|NEUDI1_110804	no	Nt|NEUTE1_129617	no
Nc|NCU00059	no	Nd|NEUDI1_78922	no	Nt|NEUTE1_81610	no
Nc|NCU00060	no	Nd|NEUDI1_97277,NEUDI1_78922	no,no	Nt|NEUTE1_122121	no
Nc|NCU00061	no	Nd|NEUDI1_97276	no	Nt|NEUTE1_122122	no
Nc|NCU00064	no	Nd|NEUDI1_78915	no	Nt|NEUTE1_62940	no
Nc|NCU00065	no	Nd|NEUDI1_78913	no	Nt|NEUTE1_62941	no
Nc|NCU00066	no	Nd|NEUDI1_126128,NEUDI1_78913	no,no	Nt|NEUTE1_81623	no
Nc|NCU00067	no	Nd|NEUDI1_126128,NEUDI1_126127	no,no	Nt|NEUTE1_94837	no
Nc|NCU00068	no	Nd|NEUDI1_126127	no	Nt|NEUTE1_81630	no
Nc|NCU00069	no	Nd|NEUDI1_161803	no	Nt|NEUTE1_62953	no
Nc|NCU00070	no	Nd|NEUDI1_59493,NEUDI1_167027	no,no	Nt|NEUTE1_129627	no
Nc|NCU00071	no	Nd|NEUDI1_97255	no	Nt|NEUTE1_100659	no
Nc|NCU00072	no	Nd|NEUDI1_97252	no	Nt|NEUTE1_62960	no
Nc|NCU00073	no	Nd|NEUDI1_167026	no	Nt|NEUTE1_81640	no
Nc|NCU00074	no	Nd|NEUDI1_167025	no	Nt|NEUTE1_129630	no
Nc|NCU00075	no	Nd|NEUDI1_167024	no	Nt|NEUTE1_81645	no
Nc|NCU00076	no	Nd|NEUDI1_167024	no	Nt|NEUTE1_81645,NEUTE1_81648	no,no
Nc|NCU00077	no	Nd|NEUDI1_155553	no	Nt|NEUTE1_129633	no
Nc|NCU00078	no	Nd|NEUDI1_58664	no	Nt|NEUTE1_129634	no
Nc|NCU00079	no	Nd|NEUDI1_78877	no	Nt|NEUTE1_109965	no
Nc|NCU00080	no	Nd|NEUDI1_78875	no	Nt|NEUTE1_146303	no
Nc|NCU00081	no	Nd|NEUDI1_24296	no	Nt|NEUTE1_81659	no
Nc|NCU00082	no	NONE	NA	Nt|NEUTE1_122138	no
Nc|NCU00083	no	Nd|NEUDI1_161796	no	Nt|NEUTE1_109968	no
Nc|NCU00084	no	Nd|NEUDI1_155548	no	Nt|NEUTE1_129637	no
Nc|NCU00085	no	Nd|NEUDI1_97226	no	Nt|NEUTE1_122141	no
Nc|NCU00086	no	Nd|NEUDI1_155545	no	Nt|NEUTE1_129639	no
Nc|NCU00087	no	Nd|NEUDI1_167019	no	Nt|NEUTE1_116939,NEUTE1_146309	no,no
Nc|NCU00088	no	Nd|NEUDI1_167017	no	Nt|NEUTE1_62995	no
Nc|NCU00089	no	Nd|NEUDI1_78860	no	Nt|NEUTE1_129642	no
Nc|NCU00090	no	Nd|NEUDI1_167015	no	Nt|NEUTE1_63000	no
Nc|NCU00091	no	Nd|NEUDI1_97211	no	Nt|NEUTE1_122147	no
Nc|NCU00092	no	Nd|NEUDI1_155539	no	Nt|NEUTE1_146314	no
Nc|NCU00093	no	Nd|NEUDI1_167014	no	Nt|NEUTE1_42519	no
Nc|NCU00095	no	Nd|NEUDI1_155537	no	Nt|NEUTE1_122149	no
Nc|NCU00096	no	NONE	NA	Nt|NEUTE1_100683	no
Nc|NCU00097	no	Nd|NEUDI1_139050	no	Nt|NEUTE1_146316	no
Nc|NCU00099	no	NONE	NA	NONE	NA
Nc|NCU00100	no	Nd|NEUDI1_126104	no	Nt|NEUTE1_81692	no
Nc|NCU00101	no	Nd|NEUDI1_155535	no	Nt|NEUTE1_63018	no
Nc|NCU00102	no	Nd|NEUDI1_97192	no	Nt|NEUTE1_81698,NEUTE1_116941	no,no
Nc|NCU00103	no	Nd|NEUDI1_97192	no	Nt|NEUTE1_116941	no
Nc|NCU00104	no	Nd|NEUDI1_155532	no	Nt|NEUTE1_81704	no
Nc|NCU00105	no	Nd|NEUDI1_97188,NEUDI1_97184	no,no	Nt|NEUTE1_63030,NEUTE1_146323	no,no
Nc|NCU00106	no	Nd|NEUDI1_97184	no	Nt|NEUTE1_146323	no
Nc|NCU00107	no	Nd|NEUDI1_126096	no	Nt|NEUTE1_81713	no
Nc|NCU00108	no	Nd|NEUDI1_126096	no	Nt|NEUTE1_129656	no
Nc|NCU00109	no	Nd|NEUDI1_167009	no	Nt|NEUTE1_63040	no
Nc|NCU00110	no	Nd|NEUDI1_126094	no	Nt|NEUTE1_81720	no
Nc|NCU00111	no	Nd|NEUDI1_97171	no	Nt|NEUTE1_94847,NEUTE1_41301	no,no
Nc|NCU00112	no	Nd|NEUDI1_97171	no	Nt|NEUTE1_94847,NEUTE1_122163	no,no
Nc|NCU00114	no	Nd|NEUDI1_155524,NEUDI1_167007	no,no	Nt|NEUTE1_129663,NEUTE1_122164	no,no
Nc|NCU00115	no	Nd|NEUDI1_167006	no	Nt|NEUTE1_81733	no
Nc|NCU00116	no	Nd|NEUDI1_167005	no	Nt|NEUTE1_116947	no
Nc|NCU00117	no	Nd|NEUDI1_126086	no	Nt|NEUTE1_63061	no
Nc|NCU00118	no	Nd|NEUDI1_59129	no	Nt|NEUTE1_42265	no
Nc|NCU00119	no	Nd|NEUDI1_126085	no	Nt|NEUTE1_129667	no
Nc|NCU00120	no	Nd|NEUDI1_97149	no	Nt|NEUTE1_81745	no
Nc|NCU00121	no	Nd|NEUDI1_97147,NEUDI1_97145	no,no	Nt|NEUTE1_81749,NEUTE1_81751	no,no
Nc|NCU00122	no	Nd|NEUDI1_97145	no	Nt|NEUTE1_81751	no
Nc|NCU00123	no	Nd|NEUDI1_139028	no	Nt|NEUTE1_110006	no
Nc|NCU00124	no	Nd|NEUDI1_24256	no	Nt|NEUTE1_146340	no
Nc|NCU00125	no	Nd|NEUDI1_58932	no	Nt|NEUTE1_146341	no
Nc|NCU00126	no	Nd|NEUDI1_97141	no	Nt|NEUTE1_146342	no
Nc|NCU00127	no	Nd|NEUDI1_161775	no	Nt|NEUTE1_116953,NEUTE1_122178	no,no
Nc|NCU00128	no	Nd|NEUDI1_24252	no	Nt|NEUTE1_26923	no
Nc|NCU00129	no	Nd|NEUDI1_126076	no	Nt|NEUTE1_42686	no
Nc|NCU00130	no	Nd|NEUDI1_155512	no	Nt|NEUTE1_146345	no
Nc|NCU00132	no	Nd|NEUDI1_97128	no	Nt|NEUTE1_146346	no
Nc|NCU00133	no	Nd|NEUDI1_78767	no	Nt|NEUTE1_146347	no
Nc|NCU00134	no	Nd|NEUDI1_97120	no	Nt|NEUTE1_41131,NEUTE1_122182	no,no
Nc|NCU00135	no	Nd|NEUDI1_126071	no	Nt|NEUTE1_122183	no
Nc|NCU00136	no	Nd|NEUDI1_78757	no	Nt|NEUTE1_81777	no
Nc|NCU00137	no	Nd|NEUDI1_161773	no	Nt|NEUTE1_116957	no
Nc|NCU00138	no	Nd|NEUDI1_97109	no	Nt|NEUTE1_81784	no
Nc|NCU00142	no	Nd|NEUDI1_97108	no	Nt|NEUTE1_81786	no
Nc|NCU00143	no	NONE	NA	NONE	NA
Nc|NCU00144	no	Nd|NEUDI1_78749	no	Nt|NEUTE1_63108	no
Nc|NCU00145	no	Nd|NEUDI1_78746	no	Nt|NEUTE1_122189	no
Nc|NCU00146	no	Nd|NEUDI1_78742,NEUDI1_97101	no,no	Nt|NEUTE1_63112,NEUTE1_63115	no,no
Nc|NCU00147	no	Nd|NEUDI1_78742	no	Nt|NEUTE1_63112,NEUTE1_63115	no,no
Nc|NCU00148	no	Nd|NEUDI1_97095	no	Nt|NEUTE1_63118	no
Nc|NCU00149	no	Nd|NEUDI1_58838	no	Nt|NEUTE1_122193	no
Nc|NCU00150	no	Nd|NEUDI1_166996	no	Nt|NEUTE1_129689	no
Nc|NCU00151	no	Nd|NEUDI1_97090,NEUDI1_97088	no,no	Nt|NEUTE1_81805	no
Nc|NCU00152	no	Nd|NEUDI1_97088	no	Nt|NEUTE1_146361	no
Nc|NCU00153	no	Nd|NEUDI1_155496	no	Nt|NEUTE1_137632	no
Nc|NCU00154	no	Nd|NEUDI1_126057	no	Nt|NEUTE1_63132	no
Nc|NCU00155	no	Nd|NEUDI1_97080	no	Nt|NEUTE1_81814	no
Nc|NCU00157	no	Nd|NEUDI1_24228	no	Nt|NEUTE1_122203,NEUTE1_43043	no,no
Nc|NCU00158	no	Nd|NEUDI1_59581	no	Nt|NEUTE1_122203	no
Nc|NCU00159	no	Nd|NEUDI1_97071	no	Nt|NEUTE1_81823	no
Nc|NCU00160	no	Nd|NEUDI1_59763	no	Nt|NEUTE1_81823	no
Nc|NCU00161	no	Nd|NEUDI1_59864	no	Nt|NEUTE1_110037	no
Nc|NCU00162	no	Nd|NEUDI1_97062	no	Nt|NEUTE1_116969,NEUTE1_63152	no,no
Nc|NCU00163	no	Nd|NEUDI1_78703	no	Nt|NEUTE1_63156	no
Nc|NCU00164	no	Nd|NEUDI1_138995	no	Nt|NEUTE1_100748	no
Nc|NCU00166	no	Nd|NEUDI1_126046	no	Nt|NEUTE1_63171	no
Nc|NCU00167	no	Nd|NEUDI1_126046	no	Nt|NEUTE1_63171	no
Nc|NCU00168	no	Nd|NEUDI1_166984	no	Nt|NEUTE1_63173	no
Nc|NCU00169	no	Nd|NEUDI1_166984	no	Nt|NEUTE1_63175	no
Nc|NCU00170	no	Nd|NEUDI1_138988,NEUDI1_78681	no,no	Nt|NEUTE1_122217	no
Nc|NCU00171	no	Nd|NEUDI1_166982	no	Nt|NEUTE1_122218	no
Nc|NCU00172	no	Nd|NEUDI1_78670,NEUDI1_97031	no,no	Nt|NEUTE1_146378	no
Nc|NCU00173	no	Nd|NEUDI1_78670	no	Nt|NEUTE1_146378,NEUTE1_110049	no,no
Nc|NCU00175	no	Nd|NEUDI1_166980	no	Nt|NEUTE1_122221	no
Nc|NCU00176	no	NONE	NA	Nt|NEUTE1_100761	no
Nc|NCU00177	no	Nd|NEUDI1_138982	no	Nt|NEUTE1_116973,NEUTE1_146382	no,no
Nc|NCU00178	no	Nd|NEUDI1_110701	no	Nt|NEUTE1_116973,NEUTE1_146382	no,no
Nc|NCU00179	no	Nd|NEUDI1_12622,NEUDI1_97020	no,no	Nt|NEUTE1_81874	no
Nc|NCU00180	no	Nd|NEUDI1_97020	no	Nt|NEUTE1_81874	no
Nc|NCU00181	no	Nd|NEUDI1_126035	no	Nt|NEUTE1_81877	no
Nc|NCU00182	no	Nd|NEUDI1_97014	no	Nt|NEUTE1_146385	no
Nc|NCU00183	no	Nd|NEUDI1_97014,NEUDI1_78653	no,no	Nt|NEUTE1_146386	no
Nc|NCU00184	no	Nd|NEUDI1_97008	no	Nt|NEUTE1_81886	no
Nc|NCU00185	no	Nd|NEUDI1_59139	no	Nt|NEUTE1_43047	no
Nc|NCU00186	no	Nd|NEUDI1_126031	no	Nt|NEUTE1_122230	no
Nc|NCU00187	no	Nd|NEUDI1_97003	no	Nt|NEUTE1_81891	no
Nc|NCU00188	no	Nd|NEUDI1_96999	no	Nt|NEUTE1_100773	no
Nc|NCU00189	no	NONE	NA	NONE	NA
Nc|NCU00192	no	Nd|NEUDI1_59807	no	Nt|NEUTE1_41475	no
Nc|NCU00193	no	Nd|NEUDI1_155466	no	Nt|NEUTE1_81897	no
Nc|NCU00194	no	Nd|NEUDI1_96994	no	Nt|NEUTE1_116977	no
Nc|NCU00195	no	Nd|NEUDI1_78635	no	Nt|NEUTE1_146393	no
Nc|NCU00196	no	Nd|NEUDI1_96988	no	Nt|NEUTE1_63226	no
Nc|NCU00197	no	Nd|NEUDI1_78630	no	Nt|NEUTE1_100778	no
Nc|NCU00198	no	Nd|NEUDI1_166974	no	Nt|NEUTE1_116980	no
Nc|NCU00199	no	Nd|NEUDI1_126024	no	Nt|NEUTE1_81912	no
Nc|NCU00200	no	Nd|NEUDI1_166972,NEUDI1_78622	no,no	Nt|NEUTE1_81914	no
Nc|NCU00201	no	Nd|NEUDI1_138966	no	Nt|NEUTE1_100781	no
Nc|NCU00202	no	Nd|NEUDI1_58731	no	Nt|NEUTE1_100782	no
Nc|NCU00203	no	Nd|NEUDI1_24188	no	Nt|NEUTE1_122240	no
Nc|NCU00204	no	Nd|NEUDI1_24188	no	Nt|NEUTE1_122240	no
Nc|NCU00205	no	Nd|NEUDI1_96967	no	Nt|NEUTE1_146400	no
Nc|NCU00206	no	Nd|NEUDI1_155456	no	Nt|NEUTE1_129729	no
Nc|NCU00207	no	Nd|NEUDI1_126017	no	Nt|NEUTE1_122243	no
Nc|NCU00208	no	Nd|NEUDI1_138960	no	Nt|NEUTE1_100788	no
Nc|NCU00209	no	Nd|NEUDI1_96960	no	Nt|NEUTE1_129730	no
Nc|NCU00210	no	Nd|NEUDI1_166969,NEUDI1_96957	no,no	Nt|NEUTE1_146404	no
Nc|NCU00211	no	Nd|NEUDI1_166969	no	Nt|NEUTE1_146404,NEUTE1_110080	no,no
Nc|NCU00212	no	Nd|NEUDI1_161741	no	Nt|NEUTE1_63263	no
Nc|NCU00213	no	Nd|NEUDI1_155450	no	Nt|NEUTE1_63265	no
Nc|NCU00214	no	Nd|NEUDI1_96943,NEUDI1_78583	no,no	Nt|NEUTE1_122251,NEUTE1_122252	no,no
Nc|NCU00215	no	Nd|NEUDI1_78583	no	Nt|NEUTE1_122252	no
Nc|NCU00216	no	Nd|NEUDI1_166964	no	Nt|NEUTE1_116990	no
Nc|NCU00218	no	Nd|NEUDI1_96934	no	Nt|NEUTE1_81963	no
Nc|NCU00219	no	Nd|NEUDI1_58529	no	Nt|NEUTE1_122256	no
Nc|NCU00220	no	Nd|NEUDI1_155444	no	Nt|NEUTE1_81968	no
Nc|NCU00221	no	Nd|NEUDI1_24170	no	Nt|NEUTE1_122258	no
Nc|NCU00222	no	Nd|NEUDI1_126003	no	Nt|NEUTE1_122258	no
Nc|NCU00223	no	Nd|NEUDI1_166959	no	Nt|NEUTE1_100805	no
Nc|NCU00224	no	NONE	NA	Nt|NEUTE1_100807	no
Nc|NCU00225	no	Nd|NEUDI1_166957	no	Nt|NEUTE1_116995	no
Nc|NCU00226	no	Nd|NEUDI1_96922	no	Nt|NEUTE1_81975	no
Nc|NCU00227	no	Nd|NEUDI1_125999	no	Nt|NEUTE1_63298	no
Nc|NCU00229	no	NONE	NA	Nt|NEUTE1_42603	no
Nc|NCU00230	no	Nd|NEUDI1_161727,NEUDI1_58285	no,no	Nt|NEUTE1_122264,NEUTE1_116997	no,no
Nc|NCU00231	no	Nd|NEUDI1_59597	no	Nt|NEUTE1_110103	no
Nc|NCU00232	no	Nd|NEUDI1_125997	no	Nt|NEUTE1_81984	no
Nc|NCU00233	no	Nd|NEUDI1_96911	no	Nt|NEUTE1_63306	no
Nc|NCU00234	no	Nd|NEUDI1_24161	no	Nt|NEUTE1_81988	no
Nc|NCU00236	no	Nd|NEUDI1_166950	no	Nt|NEUTE1_116999	no
Nc|NCU00237	no	Nd|NEUDI1_24157	no	Nt|NEUTE1_129755	no
Nc|NCU00238	no	Nd|NEUDI1_166948,NEUDI1_58274	no,no	Nt|NEUTE1_146431	no
Nc|NCU00239	no	Nd|NEUDI1_24154	no	Nt|NEUTE1_82005	no
Nc|NCU00240	no	Nd|NEUDI1_125990	no	Nt|NEUTE1_27870	no
Nc|NCU00241	no	Nd|NEUDI1_125990,NEUDI1_96893	no,no	Nt|NEUTE1_63327	no
Nc|NCU00242	no	Nd|NEUDI1_155422	no	Nt|NEUTE1_146434	no
Nc|NCU00243	no	Nd|NEUDI1_166945	no	Nt|NEUTE1_42469	no
Nc|NCU00244	no	Nd|NEUDI1_58245	no	Nt|NEUTE1_122280	no
Nc|NCU00245	no	Nd|NEUDI1_24146,NEUDI1_166944	no,no	Nt|NEUTE1_100829	no
Nc|NCU00246	no	Nd|NEUDI1_125984,NEUDI1_96883	no,no	Nt|NEUTE1_110118,NEUTE1_137717	no,no
Nc|NCU00247	no	Nd|NEUDI1_125983	no	Nt|NEUTE1_122282	no
Nc|NCU00248	no	Nd|NEUDI1_166941	no	Nt|NEUTE1_117005	no
Nc|NCU00249	no	Nd|NEUDI1_125981	no	Nt|NEUTE1_146440	no
Nc|NCU00250	no	Nd|NEUDI1_155414,NEUDI1_125980	no,no	Nt|NEUTE1_137721	no
Nc|NCU00251	no	Nd|NEUDI1_125980	no	Nt|NEUTE1_146441	no
Nc|NCU00252	no	NONE	NA	Nt|NEUTE1_82024	no
Nc|NCU00253	no	Nd|NEUDI1_138914	no	Nt|NEUTE1_122287	no
Nc|NCU00254	no	NONE	NA	Nt|NEUTE1_41034	no
Nc|NCU00255	no	Nd|NEUDI1_155404	no	Nt|NEUTE1_122288	no
Nc|NCU00256	no	Nd|NEUDI1_58679	no	Nt|NEUTE1_42455	no
Nc|NCU00257	no	Nd|NEUDI1_78502	no	Nt|NEUTE1_122289	no
Nc|NCU00258	no	Nd|NEUDI1_78502	no	Nt|NEUTE1_122289,NEUTE1_117006	no,no
Nc|NCU00259	no	Nd|NEUDI1_96863	no	Nt|NEUTE1_122291	no
Nc|NCU00260	no	Nd|NEUDI1_125976	no	Nt|NEUTE1_63362	no
Nc|NCU00261	no	Nd|NEUDI1_59707	no	Nt|NEUTE1_122293	no
Nc|NCU00262	no	Nd|NEUDI1_155410	no	Nt|NEUTE1_82044	no
Nc|NCU00263	no	Nd|NEUDI1_78499	no	Nt|NEUTE1_82047	no
Nc|NCU00264	no	Nd|NEUDI1_155402	no	Nt|NEUTE1_63372	no
Nc|NCU00265	no	Nd|NEUDI1_166934	no	Nt|NEUTE1_117008	no
Nc|NCU00267	no	Nd|NEUDI1_59040	no	Nt|NEUTE1_63375	no
Nc|NCU00268	no	Nd|NEUDI1_166933	no	Nt|NEUTE1_129780	no
Nc|NCU00269	no	Nd|NEUDI1_96846	no	Nt|NEUTE1_122301	no
Nc|NCU00270	no	Nd|NEUDI1_24121	no	Nt|NEUTE1_146458	no
Nc|NCU00271	no	NONE	NA	Nt|NEUTE1_146458	no
Nc|NCU00272	no	Nd|NEUDI1_125965	no	Nt|NEUTE1_146458	no
Nc|NCU00273	no	Nd|NEUDI1_96836	no	Nt|NEUTE1_137741	no
Nc|NCU00274	no	Nd|NEUDI1_24118	no	Nt|NEUTE1_63387	no
Nc|NCU00275	no	Nd|NEUDI1_78477	no	Nt|NEUTE1_129785	no
Nc|NCU00276	no	Nd|NEUDI1_125961	no	Nt|NEUTE1_82069	no
Nc|NCU00277	no	Nd|NEUDI1_155391	no	Nt|NEUTE1_146462	no
Nc|NCU00278	no	Nd|NEUDI1_24114	no	Nt|NEUTE1_122308	no
Nc|NCU00279	no	Nd|NEUDI1_78470	no	Nt|NEUTE1_41799	no
Nc|NCU00280	no	Nd|NEUDI1_96822	no	Nt|NEUTE1_63397	no
Nc|NCU00281	no	Nd|NEUDI1_96822	no	Nt|NEUTE1_146465	no
Nc|NCU00282	no	Nd|NEUDI1_155387	no	Nt|NEUTE1_146466	no
Nc|NCU00283	no	Nd|NEUDI1_125954	no	Nt|NEUTE1_43296	no
Nc|NCU00284	no	Nd|NEUDI1_161699	no	Nt|NEUTE1_100866	no
Nc|NCU00285	no	Nd|NEUDI1_138886	no	Nt|NEUTE1_82084	no
Nc|NCU00287	no	Nd|NEUDI1_96811	no	Nt|NEUTE1_129794	no
Nc|NCU00288	no	Nd|NEUDI1_138884	no	Nt|NEUTE1_100869	no
Nc|NCU00289	no	Nd|NEUDI1_78452,NEUDI1_166924	no,no	Nt|NEUTE1_82089	no
Nc|NCU00290	no	Nd|NEUDI1_78449	no	Nt|NEUTE1_88656	no
Nc|NCU00291	no	Nd|NEUDI1_78449	no	Nt|NEUTE1_125060	no
Nc|NCU00292	no	Nd|NEUDI1_24103	no	Nt|NEUTE1_129796	no
Nc|NCU00293	no	Nd|NEUDI1_96803	no	Nt|NEUTE1_82095	no
Nc|NCU00294	no	Nd|NEUDI1_166920	no	Nt|NEUTE1_94922	no
Nc|NCU00295	no	Nd|NEUDI1_78439	no	Nt|NEUTE1_117022,NEUTE1_63423	no,no
Nc|NCU00296	no	Nd|NEUDI1_24099	no	Nt|NEUTE1_110161	no
Nc|NCU00297	no	Nd|NEUDI1_138875	no	Nt|NEUTE1_42619	no
Nc|NCU00298	no	Nd|NEUDI1_96794	no	Nt|NEUTE1_129800	no
Nc|NCU00299	no	Nd|NEUDI1_96789	no	Nt|NEUTE1_146476,NEUTE1_82110	no,no
Nc|NCU00300	no	Nd|NEUDI1_96789	no	Nt|NEUTE1_146476,NEUTE1_82110	no,no
Nc|NCU00301	no	Nd|NEUDI1_96783	no	Nt|NEUTE1_82114	no
Nc|NCU00302	no	Nd|NEUDI1_78424	no	Nt|NEUTE1_146479	no
Nc|NCU00303	no	Nd|NEUDI1_78422	no	Nt|NEUTE1_82119	no
Nc|NCU00304	no	Nd|NEUDI1_166915	no	Nt|NEUTE1_146482	no
Nc|NCU00305	no	Nd|NEUDI1_125937	no	Nt|NEUTE1_82124	no
Nc|NCU00306	no	Nd|NEUDI1_96771	no	Nt|NEUTE1_122330	no
Nc|NCU00307	no	NONE	NA	Nt|NEUTE1_100888	no
Nc|NCU00308	no	Nd|NEUDI1_96767	no	Nt|NEUTE1_63451	no
Nc|NCU00309	no	Nd|NEUDI1_78410	no	Nt|NEUTE1_146486	no
Nc|NCU00310	no	Nd|NEUDI1_96763	no	Nt|NEUTE1_82136	no
Nc|NCU00311	no	Nd|NEUDI1_78405	no	Nt|NEUTE1_82138	no
Nc|NCU00312	no	NONE	NA	Nt|NEUTE1_41837,NEUTE1_110175	no,no
Nc|NCU00313	no	Nd|NEUDI1_24081	no	Nt|NEUTE1_100893	no
Nc|NCU00314	no	Nd|NEUDI1_24079,NEUDI1_24080	no,no	Nt|NEUTE1_110177	no
Nc|NCU00315	no	Nd|NEUDI1_166912	no	Nt|NEUTE1_94929	no
Nc|NCU00316	no	Nd|NEUDI1_96753	no	Nt|NEUTE1_82145	no
Nc|NCU00317	no	Nd|NEUDI1_155360	no	Nt|NEUTE1_122335	no
Nc|NCU00318	no	Nd|NEUDI1_59620	no	Nt|NEUTE1_117028,NEUTE1_137783	no,no
Nc|NCU00319	no	Nd|NEUDI1_78394	no	Nt|NEUTE1_129815	no
Nc|NCU00320	no	Nd|NEUDI1_155358	no	Nt|NEUTE1_122338	no
Nc|NCU00321	no	Nd|NEUDI1_155357	no	Nt|NEUTE1_129817	no
Nc|NCU00322	no	Nd|NEUDI1_166906	no	Nt|NEUTE1_146495	no
Nc|NCU00324	no	Nd|NEUDI1_161677,NEUDI1_155355	no,no	Nt|NEUTE1_146496	no
Nc|NCU00325	no	Nd|NEUDI1_125923	no	Nt|NEUTE1_129820	no
Nc|NCU00326	no	Nd|NEUDI1_58877	no	Nt|NEUTE1_63482	no
Nc|NCU00327	no	NONE	NA	Nt|NEUTE1_100907	no
Nc|NCU00329	no	Nd|NEUDI1_125921	no	Nt|NEUTE1_137791	no
Nc|NCU00330	no	Nd|NEUDI1_125920	no	Nt|NEUTE1_82165	no
Nc|NCU00331	no	Nd|NEUDI1_58905	no	Nt|NEUTE1_82168	no
Nc|NCU00332	no	Nd|NEUDI1_58752	no	Nt|NEUTE1_122347	no
Nc|NCU00333	no	Nd|NEUDI1_96730,NEUDI1_24062	no,no	Nt|NEUTE1_82172	no
Nc|NCU00334	no	Nd|NEUDI1_96730	no	Nt|NEUTE1_82175	no
