GENE	LEN
NCU06201	156
NCU09598	867
NCU05938	586
NCU06686	192
NCU05377	789
NCU05553	675
NCU07044	311
NCU08487	1331
NCU04663	1183
NCU04091	422
NCU02353	316
NCU03325	643
NCU08516	407
NCU00194	452
NCU09530	104
NCU03167	155
NCU02096	480
NCU04675	221
NCU07530	622
NCU04520	326
NCU11352	440
NCU01169	263
NCU06720	577
NCU08052	378
NCU06936	364
NCU09473	276
NCU06790	281
NCU11523	185
NCU10518	297
NCU12135	26
NCU05453	595
NCU01097	817
NCU03281	166
NCU09848	247
NCU04902	495
NCU12028	83
NCU03238	490
NCU08903	67
NCU05969	341
NCU05749	228
NCU04905	352
NCU05593	516
NCU05621	331
NCU02324	1272
NCU10444	163
NCU12133	455
NCU01916	384
NCU10077	599
NCU10721	420
NCU01504	315
NCU05217	406
NCU00757	197
NCU02374	381
NCU08923	183
NCU01931	494
NCU05687	508
NCU06681	676
NCU05145	667
NCU05627	548
NCU04323	357
NCU03282	180
NCU09886	358
NCU02055	397
NCU11416	376
NCU07043	342
NCU07979	411
NCU09101	592
NCU11871	775
NCU05032	52
NCU11568	307
NCU08766	568
NCU05163	124
NCU03089	452
NCU09853	273
NCU07351	836
NCU05543	735
NCU05347	143
NCU08847	567
NCU04507	399
NCU04855	578
NCU00472	490
NCU03636	89
NCU09407	802
NCU00125	579
NCU08149	88
NCU07552	491
NCU00892	528
NCU03200	911
NCU08453	294
NCU10217	1626
NCU09449	1059
NCU08051	544
NCU09773	782
NCU11408	868
NCU11789	151
NCU11864	421
NCU05700	536
NCU08433	304
NCU05518	703
NCU11440	189
NCU06832	1755
NCU05510	557
NCU02345	376
NCU08398	390
NCU03274	422
NCU02736	193
NCU06111	317
NCU05856	1146
NCU04818	438
NCU03610	185
NCU07185	186
NCU09468	449
NCU02394	389
NCU00130	476
NCU10703	300
NCU05137	691
NCU01458	202
NCU08671	451
NCU00776	676
NCU08319	750
NCU05668	454
NCU04020	618
NCU05076	131
NCU03230	376
NCU03689	130
NCU00426	359
NCU07723	380
NCU00220	253
NCU09643	449
NCU03043	385
NCU09754	206
NCU09383	267
NCU11477	172
NCU01023	193
NCU06757	717
NCU00843	231
NCU01120	466
NCU02373	375
NCU03456	179
NCU09412	991
NCU07184	205
NCU02526	224
NCU03340	82
NCU05619	94
NCU12109	774
NCU07414	414
NCU07910	465
NCU12118	153
NCU11453	1102
NCU05693	750
NCU12020	455
NCU03966	629
NCU08777	111
NCU07306	157
NCU01826	399
NCU07573	102
NCU11510	138
NCU04613	287
NCU03199	124
NCU07017	330
NCU03531	282
NCU00120	1237
NCU06134	325
NCU09126	726
NCU00149	75
NCU03518	511
NCU07604	594
NCU07995	98
NCU09464	172
NCU08951	242
NCU07836	442
NCU02493	297
NCU02697	166
NCU00714	578
NCU03751	729
NCU02004	496
NCU02483	219
NCU01968	745
NCU06983	429
NCU03332	307
NCU06362	1039
NCU11693	494
NCU11491	138
NCU02539	1013
NCU07003	486
NCU12132	290
NCU06519	553
NCU06869	986
NCU08308	124
NCU09081	234
NCU01581	488
NCU08177	763
NCU11995	559
NCU02620	602
NCU07728	587
NCU03099	453
NCU05948	109
NCU09221	434
NCU01391	90
NCU01371	218
NCU00335	273
NCU09049	172
NCU01171	724
NCU08721	768
NCU03540	207
NCU02359	634
NCU03101	716
NCU07683	130
NCU03700	138
NCU10392	581
NCU11613	107
NCU01983	308
NCU04856	366
NCU04175	117
NCU09120	1374
NCU11577	366
NCU11820	260
NCU08278	340
NCU11668	211
NCU03111	235
NCU01389	402
NCU03864	169
NCU06625	235
NCU08806	442
NCU04927	688
NCU08356	573
NCU06247	1353
NCU02503	273
NCU07505	568
NCU00849	158
NCU06943	521
NCU02192	321
NCU02016	128
NCU07736	592
NCU02939	136
NCU04481	555
NCU01741	181
NCU11325	337
NCU02054	588
NCU03837	481
NCU08661	361
NCU03846	473
NCU06894	602
NCU07030	611
NCU11102	426
NCU12092	166
NCU07015	446
NCU07063	551
NCU06088	179
NCU11557	124
NCU03868	657
NCU08346	596
NCU09048	1105
NCU03853	375
NCU09282	770
NCU03307	394
NCU07065	556
NCU00490	429
NCU01948	160
NCU02142	351
NCU08313	321
NCU02577	407
NCU11678	76
NCU09782	708
NCU03478	427
NCU00748	314
NCU11559	83
NCU05917	287
NCU02908	165
NCU00111	213
NCU02137	701
NCU11241	379
NCU02328	414
NCU07312	527
NCU04733	1105
NCU11615	128
NCU05152	291
NCU02745	379
NCU09999	300
NCU11962	152
NCU10029	203
NCU00634	142
NCU09363	417
NCU02367	689
NCU02879	515
NCU11186	278
NCU11807	518
NCU02737	260
NCU09460	177
NCU06127	299
NCU06944	1041
NCU11387	470
NCU04579	596
NCU04501	170
NCU00840	775
NCU03448	92
NCU04348	1160
NCU06699	499
NCU12180	132
NCU04173	375
NCU08727	120
NCU01805	461
NCU00091	1196
NCU05616	338
NCU07682	692
NCU07059	965
NCU06841	379
NCU00353	177
NCU05364	1058
NCU05821	430
NCU00751	318
NCU11839	129
NCU08749	617
NCU11506	164
NCU07969	815
NCU01346	95
NCU07659	458
NCU10833	394
NCU06614	683
NCU09482	1395
NCU05319	405
NCU09444	664
NCU07071	356
NCU06031	225
NCU09827	532
NCU05307	602
NCU06211	330
NCU07158	568
NCU01368	203
NCU06137	404
NCU00839	342
NCU04898	1318
NCU03817	398
NCU00878	79
NCU11640	101
NCU03746	438
NCU01272	1012
NCU08439	1353
NCU05964	436
NCU09333	735
NCU06834	828
NCU09514	565
NCU09039	593
NCU06811	386
NCU09459	647
NCU09755	411
NCU05278	533
NCU06810	126
NCU03714	580
NCU06360	401
NCU04625	611
NCU07539	382
NCU03575	1079
NCU10430	215
NCU01575	292
NCU06428	891
NCU02960	637
NCU09599	282
NCU00101	501
NCU02431	436
NCU09539	119
NCU02099	324
NCU08137	130
NCU02130	597
NCU12029	396
NCU05640	881
NCU07608	283
NCU04369	561
NCU05309	442
NCU06739	145
NCU01964	863
NCU01061	282
NCU07964	289
NCU12057	245
NCU01854	214
NCU11595	168
NCU10806	582
NCU10647	715
NCU07880	492
NCU11802	152
NCU08995	621
NCU05848	512
NCU01701	598
NCU02561	333
NCU00746	358
NCU11841	359
NCU01876	181
NCU07784	797
NCU11614	340
NCU05838	408
NCU05861	1640
NCU02485	677
NCU00901	1314
NCU11556	574
NCU08183	283
NCU05873	654
NCU04171	352
NCU02028	354
NCU07833	101
NCU00954	454
NCU00500	155
NCU03468	531
NCU00652	1187
NCU05320	227
NCU06192	590
NCU05346	512
NCU02337	498
NCU06712	265
NCU04819	477
NCU00828	225
NCU05853	541
NCU00254	112
NCU02542	489
NCU08594	517
NCU04285	394
NCU07828	244
NCU05572	331
NCU07060	211
NCU04067	495
NCU10106	300
NCU01200	207
NCU09683	356
NCU09931	379
NCU01245	516
NCU09897	391
NCU08379	114
NCU12095	928
NCU01769	487
NCU00225	318
NCU11645	106
NCU11914	374
NCU04391	693
NCU01276	190
NCU05477	279
NCU04155	214
NCU06262	525
NCU02785	481
NCU09721	749
NCU01297	485
NCU07584	685
NCU04367	636
NCU00532	69
NCU02017	138
NCU06691	409
NCU00305	357
NCU11448	158
NCU10847	410
NCU09496	1164
NCU00719	418
NCU02451	278
NCU04304	283
NCU06269	790
NCU06938	176
NCU02900	107
NCU06833	722
NCU00270	403
NCU11245	373
NCU04420	118
NCU07266	287
NCU02248	959
NCU11090	405
NCU03330	1137
NCU04626	484
NCU01227	333
NCU08937	117
NCU03422	535
NCU07112	458
NCU09541	437
NCU05286	73
NCU09481	891
NCU07749	102
NCU03583	174
NCU02910	394
NCU02057	1413
NCU02773	209
NCU05864	327
NCU08312	703
NCU02268	816
NCU05259	477
NCU04753	105
NCU06126	424
NCU10490	541
NCU00205	2185
NCU09608	381
NCU09703	238
NCU05968	713
NCU04009	387
NCU07022	437
NCU06838	648
NCU00989	124
NCU02211	725
NCU02605	84
NCU07930	449
NCU08620	142
NCU07081	371
NCU12099	611
NCU05272	412
NCU07466	175
NCU06957	816
NCU09600	295
NCU09820	1519
NCU02972	763
NCU04243	295
NCU00024	227
NCU08434	401
NCU07908	275
NCU04755	1015
NCU09574	70
NCU07432	223
NCU05891	1289
NCU11750	242
NCU00649	477
NCU02713	287
NCU02435	137
NCU07826	149
NCU01060	135
NCU11358	620
NCU08585	100
NCU02789	1933
NCU06673	395
NCU02122	633
NCU05245	446
NCU08944	236
NCU09411	370
NCU02273	396
NCU02308	262
NCU01205	439
NCU00506	167
NCU08141	550
NCU06823	332
NCU02302	460
NCU07549	138
NCU00523	377
NCU03026	359
NCU00932	712
NCU05595	226
NCU06506	406
NCU03386	254
NCU02738	311
NCU07797	381
NCU00831	571
NCU08354	513
NCU07193	436
NCU06939	586
NCU09935	327
NCU02692	507
NCU08047	784
NCU08994	416
NCU05555	771
NCU00150	257
NCU06769	352
NCU04945	298
NCU06719	235
NCU06693	277
NCU04620	130
NCU06532	500
NCU01999	585
NCU03503	471
NCU00893	535
NCU03805	212
NCU06662	324
NCU10011	521
NCU08891	727
NCU09671	246
NCU06995	254
NCU03517	342
NCU01003	127
NCU06109	1338
NCU03110	667
NCU09326	624
NCU04042	601
NCU04815	352
NCU02090	226
NCU03160	337
NCU00865	455
NCU11451	151
NCU06694	337
NCU06077	600
NCU05985	829
NCU03117	536
NCU00025	418
NCU12184	161
NCU03310	310
NCU02164	549
NCU07742	503
NCU11378	197
NCU06697	705
NCU06604	1264
NCU03406	108
NCU06451	396
NCU04006	284
NCU07425	1264
NCU02295	1012
NCU06626	1563
NCU07842	307
NCU06048	63
NCU03561	304
NCU00694	708
NCU05274	163
NCU02357	1096
NCU06631	683
NCU05929	450
NCU06711	245
NCU04265	695
NCU00922	117
NCU11481	386
NCU08940	123
NCU09245	593
NCU07713	229
NCU12185	328
NCU02212	242
NCU05182	602
NCU02475	1100
NCU06339	667
NCU09536	891
NCU04277	358
NCU07064	451
NCU06579	1603
NCU08393	672
NCU08448	561
NCU02593	279
NCU05703	182
NCU08305	109
NCU04843	323
NCU07579	895
NCU01221	202
NCU04759	124
NCU09273	514
NCU00249	721
NCU06914	546
NCU00871	311
NCU09488	744
NCU08502	239
NCU07171	395
NCU09747	200
NCU11520	482
NCU05016	722
NCU02711	312
NCU11664	667
NCU03231	473
NCU09917	247
NCU12062	148
NCU05875	165
NCU03336	1083
NCU04760	149
NCU11474	174
NCU03935	365
NCU04496	221
NCU12067	69
NCU09764	405
NCU00813	504
NCU05664	841
NCU07007	760
NCU09467	768
NCU11219	851
NCU08166	493
NCU11201	258
NCU07471	289
NCU11783	72
NCU06616	317
NCU01045	153
NCU07750	104
NCU06197	167
NCU04490	247
NCU03548	590
NCU05937	451
NCU00735	219
NCU04523	878
NCU06475	287
NCU05770	753
NCU02193	570
NCU06592	419
NCU07965	244
NCU04692	1948
NCU10368	505
NCU05565	993
NCU04003	219
NCU02566	961
NCU10483	557
NCU02319	1059
NCU01166	385
NCU05506	117
NCU09404	108
NCU06950	962
NCU10910	1042
NCU03875	1126
NCU05143	470
NCU12158	337
NCU09134	160
NCU07984	516
NCU11922	139
NCU11518	58
NCU11754	1048
NCU09348	138
NCU05077	359
NCU09295	332
NCU04605	135
NCU04725	540
NCU08151	488
NCU07525	943
NCU02263	334
NCU04987	335
NCU01793	249
NCU09330	149
NCU03024	857
NCU05939	959
NCU04872	387
NCU07535	742
NCU03271	225
NCU07135	613
NCU01410	291
NCU00443	250
NCU11899	625
NCU07074	578
NCU07274	413
NCU03704	331
NCU11650	113
NCU03818	1331
NCU12147	746
NCU03194	633
NCU00391	102
NCU09063	1650
NCU00069	192
NCU00466	656
NCU01337	412
NCU12149	207
NCU09772	792
NCU06883	370
NCU09287	655
NCU04075	598
NCU06469	176
NCU09619	179
NCU08838	514
NCU07410	692
NCU04590	444
NCU08070	236
NCU06145	367
NCU02976	1249
NCU00903	350
NCU08949	150
NCU08115	1145
NCU09152	586
NCU07791	340
NCU08015	93
NCU04312	486
NCU11182	228
NCU08863	428
NCU03096	231
NCU01176	1354
NCU07427	119
NCU09144	307
NCU10003	616
NCU08385	385
NCU08996	149
NCU01525	744
NCU02945	655
NCU06559	338
NCU08420	1574
NCU07478	488
NCU01056	356
NCU08355	274
NCU03741	612
NCU12021	178
NCU08167	514
NCU07191	782
NCU11815	310
NCU08053	145
NCU03591	1704
NCU06650	185
NCU04153	486
NCU06984	1582
NCU02412	385
NCU04750	1332
NCU09875	490
NCU07428	185
NCU07238	606
NCU06771	215
NCU05842	442
NCU02983	411
NCU00912	375
NCU00699	452
NCU09737	568
NCU03533	680
NCU07568	353
NCU05204	776
NCU09712	552
NCU01407	495
NCU00477	554
NCU09336	470
NCU02368	617
NCU11887	98
NCU12069	379
NCU07866	1433
NCU05983	236
NCU02804	163
NCU08985	214
NCU11980	86
NCU04238	471
NCU06971	944
NCU01279	437
NCU11865	185
NCU04040	387
NCU00837	488
NCU05043	594
NCU11285	309
NCU02677	1168
NCU11682	112
NCU09291	216
NCU02377	186
NCU06806	756
NCU00628	652
NCU08988	399
NCU09922	550
NCU00940	187
NCU02191	502
NCU02351	935
NCU08651	1097
NCU02408	578
NCU06919	274
NCU02772	476
NCU07504	735
NCU02732	539
NCU02473	320
NCU06618	753
NCU07538	371
NCU11570	344
NCU08145	548
NCU01994	328
NCU05499	467
NCU12154	128
NCU09252	1194
NCU00239	1973
NCU02744	193
NCU06722	491
NCU09740	2721
NCU05363	389
NCU01651	782
NCU03034	195
NCU06852	203
NCU04043	217
NCU08936	411
NCU08024	481
NCU01114	256
NCU01954	405
NCU04048	663
NCU05825	279
NCU08357	732
NCU11623	116
NCU02162	340
NCU06281	1486
NCU05511	243
NCU03960	156
NCU07240	350
NCU02520	324
NCU04450	657
NCU03693	286
NCU09198	108
NCU05214	157
NCU02672	131
NCU11495	147
NCU09373	772
NCU12119	123
NCU03339	503
NCU07455	544
NCU03546	1466
NCU01764	229
NCU08388	452
NCU09693	322
NCU11929	92
NCU11763	107
NCU09542	299
NCU01868	523
NCU11958	103
NCU00707	300
NCU08026	286
NCU11459	112
NCU11452	616
NCU08091	320
NCU00110	721
NCU09765	297
NCU04571	323
NCU05151	815
NCU05053	313
NCU03321	779
NCU03086	276
NCU06856	382
NCU04442	375
NCU10926	1353
NCU07352	317
NCU00262	397
NCU02128	363
NCU05120	1287
NCU02183	79
NCU07279	164
NCU07080	395
NCU00480	1496
NCU00755	666
NCU11288	513
NCU09042	1015
NCU06076	75
NCU05495	111
NCU01505	442
NCU09115	536
NCU03838	120
NCU01502	554
NCU09562	289
NCU00028	364
NCU11339	84
NCU00810	1071
NCU06238	748
NCU00896	707
NCU09003	550
NCU11842	497
NCU11761	271
NCU01179	349
NCU06191	514
NCU08632	1445
NCU02167	225
NCU04953	434
NCU03216	273
NCU07947	206
NCU04143	786
NCU04225	225
NCU06136	258
NCU01713	240
NCU09200	425
NCU10409	573
NCU08663	519
NCU02625	597
NCU02386	725
NCU03421	334
NCU06032	645
NCU09729	886
NCU08564	242
NCU03556	328
