Locus	Supercontig	Start	Stop	Strand	NaN	Gene Name	Ontology Term ID	Ontology Term Name	Protein Family
NCU04163	supercont10.5	5045449	5046429	-	1880.70588235294	hypothetical protein			
NCU09272	supercont10.7	4129946	4133293	-	1879.225	hypothetical protein			
NCU07613	supercont10.4	258305	259738	-	1867.61904761905	hypothetical protein			
NCU11835	supercont10.3	517579	518540	+	1862.58823529412	hypothetical protein			
NCU07168	supercont10.5	6366511	6370076	+	1855.02380952381	hypothetical protein			
NCU03574	supercont10.2	178495	179037	-	1849.38461538462	hypothetical protein			
NCU05122	supercont10.6	3679456	3680306	+	1846.375	hypothetical protein			
NCU05602	supercont10.6	1365324	1367147	-	1844.88	hypothetical protein			
NCU12051	supercont10.7	2642545	2644074	-	1842	hypothetical protein			
NCU11362	supercont10.4	216484	218173	+	1839.70833333333	DUF890 domain-containing protein			
NCU08060	supercont10.1	135264	136873	-	1830.39130434783	cytochrome b5			
NCU00716	supercont10.1	7452365	7453511	+	1825.52631578947	non-anchored cell wall protein-5	"FAO:0000024	GO:0030446	FAO:0000024	FAO:0000024	GO:0030446	FAO:0001001	FAO:0001001	GO:0030446	FAO:0001001	FAO:0000024	GO:0030446	FAO:0001001"	"conidium	hyphal cell wall	conidium	conidium	hyphal cell wall	hypha	hypha	hyphal cell wall	hypha	conidium	hyphal cell wall	hypha"	
NCU08636	supercont10.1	9677270	9678368	-	1824.5	hypothetical protein			
NCU08816	supercont10.4	5144994	5146236	+	1822.45	hypothetical protein			
NCU05134	supercont10.6	3612975	3613899	+	1820.125	hypothetical protein			
NCU11994	supercont10.2	4225953	4226602	+	1814.71428571429	hypothetical protein			
NCU01800	supercont10.2	2375911	2377708	+	1811.16	37S ribosomal protein S5			
NCU07586	supercont10.4	155386	156291	-	1811	hypothetical protein			
NCU07847	supercont10.3	1085824	1086126	-	1808.8	hypothetical protein			
NCU05863	supercont10.7	155326	156985	+	1798.08695652174	hypothetical protein			
NCU08720	supercont10.2	3792536	3793573	-	1797.29411764706	hypothetical protein			
NCU08112	supercont10.1	311541	313460	+	1789.19230769231	cytochrome P450 monooxygenase			
NCU05698	supercont10.3	552040	553005	-	1781.05882352941	hypothetical protein			
NCU11229	supercont10.1	3382181	3384488	+	1779.5	transcription factor RfeD			
NCU09029	supercont10.7	3874410	3875225	+	1775.6	hypothetical protein			
NCU09986	supercont10.7	3929559	3930991	-	1761	hypothetical protein			
NCU06304	supercont10.4	2981311	2983126	+	1756.76	HET domain-containing protein			
NCU07533	supercont10.3	4470663	4472645	+	1754.66666666667	secreted aspartic proteinase			
NCU08968	supercont10.5	5866270	5867586	+	1753.25	dimethyladenosine transferase	"GO:0000179	GO:0006364	GO:0030686	GO:0030686	GO:0006364	GO:0000154	GO:0005730	GO:0000179	GO:0000154	GO:0005730	GO:0030686	GO:0000154	GO:0000179	GO:0005730	GO:0006364	GO:0005730	GO:0000179	GO:0000179	GO:0030686	GO:0005730	GO:0000154	GO:0030686	GO:0000154	GO:0006364	GO:0006364	GO:0030686	GO:0000154	GO:0005730	GO:0000179	GO:0006364"	"rRNA (adenine-N6	N6-)-dimethyltransferase activity	rRNA processing	90S preribosome	90S preribosome	rRNA processing	rRNA modification	nucleolus	rRNA (adenine-N6	N6-)-dimethyltransferase activity	rRNA modification	nucleolus	90S preribosome	rRNA modification	rRNA (adenine-N6	N6-)-dimethyltransferase activity	nucleolus	rRNA processing	nucleolus	rRNA (adenine-N6	N6-)-dimethyltransferase activity	rRNA (adenine-N6	N6-)-dimethyltransferase activity	90S preribosome	nucleolus	rRNA modification	90S preribosome	rRNA modification	rRNA processing	rRNA processing	90S preribosome	rRNA modification	nucleolus	rRNA (adenine-N6	N6-)-dimethyltransferase activity	rRNA processing"	
NCU03520	supercont10.2	381908	382687	-	1752	hypothetical protein			
NCU04948	supercont10.4	838909	840562	+	1748.08695652174	hypothetical protein			
NCU08634	supercont10.1	9664598	9666566	+	1747.96296296296	hypothetical protein			
NCU03309	supercont10.1	5269834	5271033	-	1745.31578947368	Nedd8-like protein	"GO:0031386	GO:0031386	GO:0005634	GO:0005634	GO:0005634	GO:0005515	GO:0005515	GO:0019005	GO:0045116	GO:0005829	GO:0005829	GO:0005515	GO:0005829	GO:0019005	GO:0005634	GO:0031386	GO:0019005	GO:0005829	GO:0005515	GO:0005634	GO:0019005	GO:0005829	GO:0031386	GO:0005515	GO:0045116	GO:0045116	GO:0031386	GO:0005829	GO:0005515	GO:0019005	GO:0005634	GO:0019005	GO:0031386	GO:0005515	GO:0005829	GO:0045116	GO:0019005	GO:0045116	GO:0031386	GO:0005634	GO:0045116	GO:0045116"	"protein tag	protein tag	nucleus	nucleus	nucleus	protein binding	protein binding	SCF ubiquitin ligase complex	protein neddylation	cytosol	cytosol	protein binding	cytosol	SCF ubiquitin ligase complex	nucleus	protein tag	SCF ubiquitin ligase complex	cytosol	protein binding	nucleus	SCF ubiquitin ligase complex	cytosol	protein tag	protein binding	protein neddylation	protein neddylation	protein tag	cytosol	protein binding	SCF ubiquitin ligase complex	nucleus	SCF ubiquitin ligase complex	protein tag	protein binding	cytosol	protein neddylation	SCF ubiquitin ligase complex	protein neddylation	protein tag	nucleus	protein neddylation	protein neddylation"	
NCU05036	supercont10.6	3975402	3977091	+	1738.47826086957	hypothetical protein			
NCU04950	supercont10.4	842412	843272	-	1737.4	hypothetical protein			
NCU11151	supercont10.5	3545443	3546017	+	1737.38461538462	hypothetical protein			
NCU08093	supercont10.1	237549	238578	+	1737.11764705882	hypothetical protein			
NCU07486	supercont10.1	453962	454759	-	1736.8	LysM domain-containing protein			
NCU10597	supercont10.6	4119305	4122109	-	1736.62857142857	hypothetical protein			
NCU12065	supercont10.7	3067517	3068601	+	1732.11111111111	hypothetical protein			
NCU04330	supercont10.5	5641770	5642632	+	1731.6875	hypothetical protein			
NCU09023	supercont10.7	3891451	3894228	+	1730.4	laccase 2			
NCU09052	supercont10.7	3787173	3788344	+	1728.63157894737	hypothetical protein			
NCU09125	supercont10.1	5423475	5425121	+	1728.5	hypothetical protein			
NCU12142	supercont10.6	1729590	1731509	-	1725.7037037037	hypothetical protein			
NCU08881	supercont10.5	21710	23034	-	1725.5	hypothetical protein			
NCU02698	supercont10.1	3238527	3239085	+	1724.41666666667	hypothetical protein			
NCU04734	supercont10.6	600686	602883	-	1717.58620689655	hypothetical protein			
NCU08527	supercont10.3	5040603	5042431	-	1715.84	hypothetical protein			
NCU05192	supercont10.4	5804052	5805628	+	1714.60869565217	O-methyltransferase			
NCU00657	supercont10.1	7671242	7672966	-	1709.625	hypothetical protein			
NCU05149	supercont10.6	3573859	3575748	+	1706.53846153846	hypothetical protein			
NCU11053	supercont10.1	9337290	9338483	+	1703.57894736842	26S proteasome non-ATPase regulatory subunit 9			
NCU11828	supercont10.3	94222	96192	+	1700.88461538462	hypothetical protein			
NCU03895	supercont10.6	2552395	2553512	-	1692.84210526316	hypothetical protein			
NCU09331	supercont10.1	4206965	4207750	+	1692.33333333333	HMF1			
NCU09854	supercont10.5	5964225	5966551	-	1690.6	hypothetical protein			
NCU08495	supercont10.2	3471836	3472860	+	1687.82352941176	hypothetical protein			
NCU03081	supercont10.1	4479968	4481291	+	1685.5	hypothetical protein			
NCU08830	supercont10.4	5094397	5096329	-	1674.51851851852	hypothetical protein			
NCU11701	supercont10.4	170336	171694	+	1673.05	integral membrane protein			
NCU08059	supercont10.1	133836	134464	+	1672.92307692308	hypothetical protein			
NCU09779	supercont10.6	1091764	1093359	+	1669.60869565217	oxidoreductase			
NCU00764	supercont10.1	7266073	7266621	+	1666.46153846154	hypothetical protein			
NCU04873	supercont10.4	573399	574395	+	1666.05882352941	hypothetical protein			
NCU07409	supercont10.1	6037279	6039299	-	1663.92592592593	hypothetical protein			
NCU08116	supercont10.1	328658	330088	-	1660.09523809524	hypothetical protein			
NCU09418	supercont10.7	3070933	3072264	-	1658.75	hypothetical protein			
NCU08805	supercont10.4	5193186	5193970	-	1658.4	hypothetical protein			
NCU09766	supercont10.2	4295876	4297457	-	1657.13043478261	hypothetical protein			
NCU02456	supercont10.7	2135058	2137360	+	1656.73333333333	potassium transporter			
NCU11633	supercont10.5	2368238	2371394	+	1654.31578947368	hypothetical protein			
NCU06784	supercont10.2	1945598	1945997	-	1653.72727272727	hypothetical protein			
NCU09396	supercont10.7	3008154	3008700	-	1653.30769230769	hypothetical protein			
NCU11521	supercont10.1	6050368	6051530	+	1649.94736842105	hypothetical protein			
NCU07775	supercont10.5	348469	349907	-	1644.68181818182	hypothetical protein			
NCU11804	supercont10.4	5096650	5097060	+	1644.54545454545	hypothetical protein			
NCU12171	supercont10.6	3560267	3561495	+	1642.68421052632	hypothetical protein			
NCU06155	supercont10.7	2641492	2642023	-	1642.61538461538	hypothetical protein			
NCU01528	supercont10.2	3180356	3182245	+	1636.07692307692	glyceraldehyde-3-phosphate dehydrogenase-1	"GO:0009277	GO:0009277	GO:0005737	GO:0005739	GO:0006096	GO:0005739	GO:0042149	GO:0042149	GO:0042149	GO:0042149	GO:0005739	GO:0009277	GO:0005737	GO:0004365	GO:0006094	GO:0006096	GO:0006094	GO:0009277	GO:0006094	GO:0042149	GO:0004365	GO:0005739	GO:0006096	GO:0005737	GO:0006094	GO:0006096	GO:0004365	GO:0006094	GO:0004365	GO:0006096	GO:0006094	GO:0009277	GO:0004365	GO:0004365	GO:0006096	GO:0005739	GO:0042149	GO:0005737	GO:0009277	GO:0005737	GO:0006096	GO:0004365	GO:0009277	GO:0005737	GO:0005737	GO:0042149	GO:0005739	GO:0005739	GO:0009277	GO:0006096	GO:0005737	GO:0006094	GO:0006094	GO:0004365	GO:0042149	GO:0005739"	"fungal-type cell wall	fungal-type cell wall	cytoplasm	mitochondrion	glycolysis	mitochondrion	cellular response to glucose starvation	cellular response to glucose starvation	cellular response to glucose starvation	cellular response to glucose starvation	mitochondrion	fungal-type cell wall	cytoplasm	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	gluconeogenesis	glycolysis	gluconeogenesis	fungal-type cell wall	gluconeogenesis	cellular response to glucose starvation	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	mitochondrion	glycolysis	cytoplasm	gluconeogenesis	glycolysis	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	gluconeogenesis	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	glycolysis	gluconeogenesis	fungal-type cell wall	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	glycolysis	mitochondrion	cellular response to glucose starvation	cytoplasm	fungal-type cell wall	cytoplasm	glycolysis	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	fungal-type cell wall	cytoplasm	cytoplasm	cellular response to glucose starvation	mitochondrion	mitochondrion	fungal-type cell wall	glycolysis	cytoplasm	gluconeogenesis	gluconeogenesis	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	cellular response to glucose starvation	mitochondrion"	
NCU07520	supercont10.3	4526737	4527663	+	1628.9375	"endo-1	4-beta-glucanase"			
NCU09533	supercont10.5	4497262	4498786	+	1626.5	NAD binding Rossmann fold oxidoreductase	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU10051	supercont10.7	3215706	3217583	-	1626.48	flavohemoglobin			
NCU09351	supercont10.2	4205247	4205693	-	1623.36363636364	hypothetical protein			
NCU04951	supercont10.4	844201	845169	-	1622.76470588235	hypothetical protein			
NCU07113	supercont10.6	136247	138233	-	1620.96296296296	hypothetical protein			
NCU08094	supercont10.1	239228	240760	+	1616.90909090909	dihydrofolate reductase			
NCU09611	supercont10.2	57644	58709	+	1615	fructosamine-3-kinase			
NCU09937	supercont10.4	5252905	5254978	-	1609.40740740741	cell wall glycosyl hydrolase Dfg5	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU05893	supercont10.7	65591	66613	-	1604.44444444444	AT DNA binding protein			
NCU06890	supercont10.7	3576642	3577325	-	1603.57142857143	hypothetical protein			
NCU02474	supercont10.1	2432597	2433504	-	1602.70588235294	translocase of outer mitochondrial membrane 5	"GO:0005742	GO:0005742"	"mitochondrial outer membrane translocase complex	mitochondrial outer membrane translocase complex"	
NCU01196	supercont10.5	3206448	3207483	-	1602.47058823529	hypothetical protein			
NCU12016	supercont10.7	589472	590429	-	1600	hypothetical protein			
NCU11997	supercont10.7	96025	98268	+	1599.1724137931	xenobiotic compound monooxygenase			
NCU05713	supercont10.3	601856	603223	-	1597	hypothetical protein			
NCU09054	supercont10.7	3779313	3780533	-	1595.05263157895	hypothetical protein			
NCU07257	supercont10.4	4603416	4606178	+	1595	F-box domain-containing protein	"GO:0043331	GO:0043331"	"response to dsRNA	response to dsRNA"	
NCU07609	supercont10.4	245404	247498	-	1594.22222222222	MFS transporter			
NCU09871	supercont10.6	1833975	1835113	-	1593.68421052632	centrin 3			
NCU12015	supercont10.7	514942	516339	+	1590.61904761905	hypothetical protein			
NCU02196	supercont10.7	877973	879318	-	1589.90476190476	taurine catabolism dioxygenase TauD			
NCU04181	supercont10.5	5120444	5121400	-	1586.70588235294	translocase of outer mitochondrial membrane 7	"GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626	GO:0006626"	"protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion	protein targeting to mitochondrion"	
NCU07161	supercont10.5	6385615	6386419	-	1581.2	hypothetical protein			
NCU07341	supercont10.4	4307734	4309344	-	1579.60869565217	hypothetical protein			
NCU11940	supercont10.2	1695026	1696015	-	1577.76470588235	hypothetical protein			
NCU09809	supercont10.1	4121814	4122761	+	1576.375	mitochondrial copper ion transporter			
NCU08111	supercont10.1	309019	310364	+	1576.3	arginine N-methyltransferase 2			
NCU12064	supercont10.7	3032315	3033283	-	1571.9375	hypothetical protein			
NCU09698	supercont10.5	797772	799872	-	1570.89285714286	hypothetical protein			
NCU09486	supercont10.2	4434703	4437058	+	1568.73333333333	"glucan 1	4-alpha-maltohexaosidase"			
NCU11289	supercont10.3	5141444	5142547	-	1567.72222222222	aldo-keto reductase			
NCU09484	supercont10.2	4426885	4428862	-	1565.03703703704	hypothetical protein			
NCU01142	supercont10.5	3008687	3009828	+	1564	NADH:ubiquinone oxidoreductase 13.4kD subunit	"GO:0006116	GO:0009055	GO:0005739	GO:0009055	GO:0005747	GO:0006116	GO:0005747	GO:0005747	GO:0009055	GO:0009055	GO:0005739	GO:0005739	GO:0005747	GO:0006116	GO:0006116	GO:0005739	GO:0009055	GO:0005739	GO:0006116	GO:0005747"	"NADH oxidation	electron carrier activity	mitochondrion	electron carrier activity	mitochondrial respiratory chain complex I	NADH oxidation	mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I	electron carrier activity	electron carrier activity	mitochondrion	mitochondrion	mitochondrial respiratory chain complex I	NADH oxidation	NADH oxidation	mitochondrion	electron carrier activity	mitochondrion	NADH oxidation	mitochondrial respiratory chain complex I"	
NCU05118	supercont10.6	3692181	3694081	+	1562.73076923077	vacuolar membrane ATPase-10  			
NCU00994	supercont10.1	6460924	6463240	+	1562.4	endothiapepsin			
NCU07751	supercont10.5	425598	426105	+	1561.38461538462	hypothetical protein			
NCU00510	supercont10.1	8176679	8177240	-	1561.38461538462	hypothetical protein			
NCU01761	supercont10.2	2521916	2522903	+	1560.23529411765	hypothetical protein			
NCU07748	supercont10.5	435476	436752	+	1558.8	hypothetical protein			
NCU05692	supercont10.3	523808	524636	+	1558.8	hypothetical protein			
NCU03816	supercont10.5	2504143	2505540	-	1557.42857142857	hypothetical protein			
